timestamp_ms,sensor,value
0,compass,37.91
50,compass,39.89
100,compass,37.16
150,compass,34.83
200,compass,37.23
250,compass,38.46
300,compass,38.32
350,compass,35.32
400,compass,44.68
450,compass,39.23
500,compass,37.71
550,compass,34.86
600,compass,34.38
650,compass,41.5
700,compass,39.98
750,compass,39.36
800,compass,39.25
850,compass,41.59
900,compass,38.93
950,compass,35.55
1000,compass,33.69
1050,compass,33.31
1100,compass,32.78
1150,compass,35.66
1200,compass,39.02
1250,compass,40.99
1300,compass,39.96
1350,compass,38.83
1400,compass,36.14
1450,compass,37.74
1500,compass,39.34
1550,compass,37.19
1600,compass,33.1
1650,compass,38.99
1700,compass,39.78
1750,compass,39.37
1800,compass,40.4
1850,compass,39.04
1900,compass,38.36
1950,compass,38.86
2000,compass,40.07
2050,compass,32.01
2100,compass,37.15
2150,compass,41.64
2200,compass,42.14
2250,compass,40.54
2300,compass,31.62
2350,compass,39.71
2400,compass,35.25
2450,compass,37.41
2500,compass,37.62
2550,compass,42.39
2600,compass,36.91
2650,compass,40.37
2700,compass,39.98
2750,compass,37.41
2800,compass,35.35
2850,compass,36.39
2900,compass,41.35
2950,compass,41
3000,compass,38.31
3050,compass,34.3
3100,compass,33.93
3150,compass,34.87
3200,compass,43.45
3250,compass,40.57
3300,compass,39.18
3350,compass,40.25
3400,compass,36.04
3450,compass,36.45
3500,compass,35.37
3550,compass,43.93
3600,compass,38.48
3650,compass,33.29
3700,compass,40.29
3750,compass,37.1
3800,compass,34.67
3850,compass,36.33
3900,compass,39.37
3950,compass,40.71
4000,compass,42.28
4050,compass,39.37
4100,compass,38.93
4150,compass,41.49
4200,compass,37.43
4250,compass,41.75
4300,compass,37.92
4350,compass,35.44
4400,compass,30.8
4450,compass,39.48
4500,compass,35.91
4550,compass,38.99
4600,compass,42.12
4650,compass,35.66
4700,compass,35.31
4750,compass,37.97
4800,compass,37.36
4850,compass,37.23
4900,compass,33.91
4950,compass,36.11
