timestamp_ms,sensor,value
0,temp,22.32
0,light,84
100,temp,22.43
100,light,87
200,temp,21.75
200,light,79
300,temp,22.13
300,light,73
400,temp,21.96
400,light,66
500,temp,21.94
500,light,82
600,temp,22.32
600,light,70
700,temp,21.96
700,light,91
800,temp,22.11
800,light,81
900,temp,21.98
900,light,79
1000,temp,21.99
1000,light,87
1100,temp,22.17
1100,light,82
1200,temp,22.21
1200,light,86
1300,temp,22.05
1300,light,71
1400,temp,22.14
1400,light,85
1500,temp,22.12
1500,light,87
1600,temp,22.18
1600,light,73
1700,temp,22.24
1700,light,84
1800,temp,21.8
1800,light,91
1900,temp,22.09
1900,light,73
2000,temp,21.87
2000,light,90
2100,temp,22.13
2100,light,88
2200,temp,21.97
2200,light,75
2300,temp,21.98
2300,light,78
2400,temp,22.19
2400,light,77
2500,temp,22.37
2500,light,88
2600,temp,21.95
2600,light,74
2700,temp,22.52
2700,light,78
2800,temp,21.92
2800,light,86
2900,temp,21.85
2900,light,79
3000,temp,22.07
3000,light,77
3100,temp,22.29
3100,light,88
3200,temp,22.38
3200,light,75
3300,temp,21.95
3300,light,82
3400,temp,22
3400,light,91
3500,temp,22.49
3500,light,86
3600,temp,22.27
3600,light,86
3700,temp,21.77
3700,light,80
3800,temp,22.27
3800,light,84
3900,temp,22.02
3900,light,92
4000,temp,22.24
4000,light,99
4100,temp,22.17
4100,light,86
4200,temp,22.17
4200,light,91
4300,temp,22.12
4300,light,84
4400,temp,22.31
4400,light,80
4500,temp,22.38
4500,light,77
4600,temp,22.14
4600,light,112
4700,temp,22.21
4700,light,100
4800,temp,22.18
4800,light,81
4900,temp,22.17
4900,light,101
5000,temp,22.13
5000,light,95
5100,temp,22.23
5100,light,85
5200,temp,22.23
5200,light,70
5300,temp,22.37
5300,light,85
5400,temp,22.26
5400,light,80
5500,temp,21.91
5500,light,105
5600,temp,21.95
5600,light,86
5700,temp,22.26
5700,light,95
5800,temp,22
5800,light,99
5900,temp,22.49
5900,light,92
6000,temp,22.32
6000,light,91
6100,temp,22.36
6100,light,97
6200,temp,22.1
6200,light,93
6300,temp,22.32
6300,light,96
6400,temp,21.99
6400,light,95
6500,temp,22.57
6500,light,101
6600,temp,22.25
6600,light,91
6700,temp,22.45
6700,light,91
6800,temp,22.21
6800,light,100
6900,temp,22.19
6900,light,91
7000,temp,22.25
7000,light,94
7100,temp,22.48
7100,light,85
7200,temp,22.34
7200,light,90
7300,temp,22.34
7300,light,94
7400,temp,21.97
7400,light,99
7500,temp,22.12
7500,light,93
7600,temp,22.41
7600,light,96
7700,temp,22.47
7700,light,89
7800,temp,22.33
7800,light,91
7900,temp,22.45
7900,light,91
8000,temp,22.35
8000,light,93
8100,temp,22.24
8100,light,107
8200,temp,22.1
8200,light,106
8300,temp,22.45
8300,light,99
8400,temp,22.66
8400,light,91
8500,temp,22.39
8500,light,102
8600,temp,22.42
8600,light,89
8700,temp,22.58
8700,light,100
8800,temp,22.67
8800,light,101
8900,temp,22.67
8900,light,104
9000,temp,22.38
9000,light,84
9100,temp,22.5
9100,light,108
9200,temp,22.26
9200,light,94
9300,temp,22.45
9300,light,109
9400,temp,22.8
9400,light,94
9500,temp,22.47
9500,light,106
9600,temp,22.25
9600,light,105
9700,temp,22.36
9700,light,102
9800,temp,22.6
9800,light,97
9900,temp,22.41
9900,light,90
10000,temp,22.62
10000,light,93
10100,temp,22.5
10100,light,95
10200,temp,22.46
10200,light,96
10300,temp,22.31
10300,light,98
10400,temp,22.61
10400,light,101
10500,temp,22.31
10500,light,86
10600,temp,22.42
10600,light,105
10700,temp,22.58
10700,light,101
10800,temp,22.33
10800,light,104
10900,temp,22.46
10900,light,103
11000,temp,22.34
11000,light,103
11100,temp,22.34
11100,light,110
11200,temp,22.51
11200,light,108
11300,temp,22.74
11300,light,99
11400,temp,22.44
11400,light,102
11500,temp,22.55
11500,light,115
11600,temp,22.33
11600,light,99
11700,temp,22.48
11700,light,116
11800,temp,22.6
11800,light,97
11900,temp,22.6
11900,light,100
12000,temp,22.74
12000,light,110
12100,temp,22.66
12100,light,107
12200,temp,22.46
12200,light,108
12300,temp,22.6
12300,light,102
12400,temp,22.81
12400,light,106
12500,temp,22.53
12500,light,91
12600,temp,22.6
12600,light,91
12700,temp,22.5
12700,light,114
12800,temp,22.56
12800,light,100
12900,temp,22.2
12900,light,104
13000,temp,22.55
13000,light,103
13100,temp,22.57
13100,light,112
13200,temp,22.53
13200,light,100
13300,temp,22.67
13300,light,117
13400,temp,22.5
13400,light,102
13500,temp,22.58
13500,light,104
13600,temp,22.68
13600,light,104
13700,temp,22.9
13700,light,109
13800,temp,22.88
13800,light,108
13900,temp,22.54
13900,light,125
14000,temp,22.77
14000,light,119
14100,temp,22.64
14100,light,108
14200,temp,22.54
14200,light,107
14300,temp,22.75
14300,light,95
14400,temp,22.67
14400,light,96
14500,temp,22.79
14500,light,106
14600,temp,22.64
14600,light,110
14700,temp,22.62
14700,light,121
14800,temp,22.76
14800,light,99
14900,temp,22.69
14900,light,113
15000,temp,22.57
15000,light,123
15100,temp,22.87
15100,light,123
15200,temp,22.61
15200,light,115
15300,temp,22.73
15300,light,115
15400,temp,22.63
15400,light,100
15500,temp,22.57
15500,light,126
15600,temp,22.53
15600,light,105
15700,temp,22.78
15700,light,109
15800,temp,22.74
15800,light,110
15900,temp,22.51
15900,light,122
16000,temp,22.68
16000,light,122
16100,temp,22.66
16100,light,123
16200,temp,22.74
16200,light,112
16300,temp,22.98
16300,light,125
16400,temp,22.64
16400,light,103
16500,temp,22.69
16500,light,122
16600,temp,22.87
16600,light,101
16700,temp,22.85
16700,light,124
16800,temp,22.71
16800,light,112
16900,temp,22.93
16900,light,113
17000,temp,22.71
17000,light,119
17100,temp,22.67
17100,light,107
17200,temp,22.86
17200,light,122
17300,temp,22.68
17300,light,121
17400,temp,22.89
17400,light,120
17500,temp,22.66
17500,light,100
17600,temp,22.64
17600,light,112
17700,temp,22.97
17700,light,115
17800,temp,23.09
17800,light,118
17900,temp,22.83
17900,light,120
18000,temp,22.58
