timestamp_ms,sensor,value
0,compass,8.9
200,compass,10.6
400,compass,9.4
600,compass,10.4
800,compass,9.2
1000,compass,9.1
1200,compass,9.6
1400,compass,9.5
1600,compass,10.1
1800,compass,9.3
2000,compass,8
2200,compass,9.2
2400,compass,8.1
2600,compass,6.3
2800,compass,3.2
3000,compass,3.9
3200,compass,2.2
3400,compass,2.5
3600,compass,2.9
3800,compass,2.2
4000,compass,3.2
4200,compass,3.5
4400,compass,2
4600,compass,1.7
4800,compass,2.4
5000,compass,3.9
5200,compass,5.7
5400,compass,5.8
5600,compass,5.5
5800,compass,5.9
6000,compass,5.5
6200,compass,6.1
6400,compass,5.4
6600,compass,4.8
6800,compass,6.1
7000,compass,8.3
7200,compass,6.5
7400,compass,6.6
7600,compass,6
7800,compass,3.7
8000,compass,3.7
8200,compass,3.4
8400,compass,4
8600,compass,5.1
8800,compass,4.4
9000,compass,4.1
9200,compass,5.7
9400,compass,7.1
9600,compass,7.3
9800,compass,8.2
10000,compass,10.3
10200,compass,11.7
10400,compass,9.5
10600,compass,8.9
10800,compass,8.6
11000,compass,6.8
11200,compass,6.1
11400,compass,6.2
11600,compass,7.6
11800,compass,9.2
12000,compass,11.9
12200,compass,12.7
12400,compass,12.8
12600,compass,11
12800,compass,11
13000,compass,9.8
13200,compass,9.1
13400,compass,8.4
13600,compass,6.6
13800,compass,6.7
14000,compass,5.9
14200,compass,5.4
14400,compass,3.7
14600,compass,3.1
14800,compass,359.9
15000,compass,358.8
15200,compass,1.6
15400,compass,2.9
15600,compass,3.4
15800,compass,2.9
16000,compass,2.2
16200,compass,3
16400,compass,3.5
16600,compass,0.3
16800,compass,0.4
17000,compass,359.2
17200,compass,359.6
17400,compass,359.8
17600,compass,0.1
17800,compass,0.3
18000,compass,358.7
18200,compass,358.1
18400,compass,358.1
18600,compass,356.6
18800,compass,356.3
19000,compass,354.2
19200,compass,352.3
19400,compass,351.9
19600,compass,352.6
19800,compass,353.6
20000,compass,352.6
20200,compass,352.6
20400,compass,352.2
20600,compass,351.7
20800,compass,350.9
21000,compass,349.7
21200,compass,348.3
21400,compass,347
21600,compass,349.7
21800,compass,348.9
22000,compass,350.8
22200,compass,348.5
22400,compass,350.8
22600,compass,351.8
22800,compass,355.2
23000,compass,359.1
23200,compass,357.3
23400,compass,354.8
23600,compass,355.5
23800,compass,354.2
24000,compass,353.3
24200,compass,353.6
24400,compass,354.7
24600,compass,353.5
24800,compass,352.3
25000,compass,351.7
25200,compass,351.2
25400,compass,351.9
25600,compass,352.4
25800,compass,354.3
26000,compass,352
26200,compass,351.2
26400,compass,353.1
26600,compass,353.7
26800,compass,354.8
27000,compass,355
27200,compass,356.9
27400,compass,358.4
27600,compass,359.1
27800,compass,358.2
28000,compass,358.6
28200,compass,359.5
28400,compass,359.8
28600,compass,359.2
28800,compass,357.8
29000,compass,357.2
29200,compass,357.3
29400,compass,356.9
29600,compass,358.9
29800,compass,358.4
30000,compass,357.9
30200,compass,357.2
30400,compass,357
30600,compass,356.6
30800,compass,358.4
31000,compass,358.9
31200,compass,359.4
31400,compass,359.3
31600,compass,359.2
31800,compass,359
32000,compass,359.3
32200,compass,359.4
32400,compass,359
32600,compass,358.9
32800,compass,360
33000,compass,358.8
33200,compass,358.5
33400,compass,355.2
33600,compass,355.3
33800,compass,356.3
34000,compass,356.1
34200,compass,357.7
34400,compass,358.3
34600,compass,0.2
34800,compass,359.7
35000,compass,358.4
35200,compass,358.9
35400,compass,357.8
35600,compass,359.3
35800,compass,0.7
36000,compass,0.8
36200,compass,2.7
36400,compass,0.4
36600,compass,0.5
36800,compass,0.6
37000,compass,1.3
37200,compass,2.6
37400,compass,2.5
37600,compass,2.3
37800,compass,0.9
38000,compass,1.1
38200,compass,1.5
38400,compass,2
38600,compass,2
38800,compass,0.4
39000,compass,358.7
39200,compass,358.7
39400,compass,358.1
39600,compass,359.1
39800,compass,358.6
40000,compass,357.8
40200,compass,357.2
40400,compass,358.4
40600,compass,358.9
40800,compass,358.5
41000,compass,359.5
41200,compass,359.2
41400,compass,0.5
41600,compass,0.2
41800,compass,359.6
42000,compass,358.1
42200,compass,358
42400,compass,358.7
42600,compass,356.2
42800,compass,355.9
43000,compass,354.7
43200,compass,354.5
43400,compass,353.8
43600,compass,354.7
43800,compass,354.1
44000,compass,356.1
44200,compass,354.9
44400,compass,356.1
44600,compass,355
44800,compass,355.6
45000,compass,354.4
45200,compass,355.1
45400,compass,354.9
45600,compass,355.2
45800,compass,355.9
46000,compass,356.2
46200,compass,354.8
46400,compass,354
46600,compass,353.4
46800,compass,353.2
47000,compass,352.4
47200,compass,356.1
47400,compass,358.4
47600,compass,360
47800,compass,359.7
48000,compass,1.3
48200,compass,358.8
48400,compass,360
48600,compass,1.9
48800,compass,3.3
49000,compass,3
49200,compass,2.6
49400,compass,1.9
49600,compass,2.6
49800,compass,1.5
50000,compass,2.8
50200,compass,1.9
50400,compass,1.6
50600,compass,2
50800,compass,360
51000,compass,358.1
51200,compass,359.1
51400,compass,359.1
51600,compass,359.2
51800,compass,357.4
52000,compass,357
52200,compass,356.5
