timestamp_ms,sensor,value
0,accel_x,39
0,accel_y,72
0,accel_z,1061
20,accel_x,-88
20,accel_y,99
20,accel_z,978
40,accel_x,13
40,accel_y,42
40,accel_z,1025
60,accel_x,-38
60,accel_y,45
60,accel_z,991
80,accel_x,4
80,accel_y,2
80,accel_z,993
100,accel_x,-11
100,accel_y,7
100,accel_z,1005
120,accel_x,27
120,accel_y,60
120,accel_z,1016
140,accel_x,74
140,accel_y,-32
140,accel_z,1020
160,accel_x,37
160,accel_y,-66
160,accel_z,969
180,accel_x,-47
180,accel_y,27
180,accel_z,963
200,accel_x,2
200,accel_y,-51
200,accel_z,1008
220,accel_x,13
220,accel_y,2
220,accel_z,978
240,accel_x,0
240,accel_y,73
240,accel_z,1014
260,accel_x,-7
260,accel_y,-19
260,accel_z,1043
280,accel_x,46
280,accel_y,32
280,accel_z,970
300,accel_x,8
300,accel_y,-26
300,accel_z,1000
320,accel_x,-50
320,accel_y,3
320,accel_z,984
340,accel_x,21
340,accel_y,-32
340,accel_z,1001
360,accel_x,-13
360,accel_y,87
360,accel_z,979
380,accel_x,40
380,accel_y,-28
380,accel_z,967
400,accel_x,51
400,accel_y,20
400,accel_z,989
420,accel_x,6
420,accel_y,-31
420,accel_z,992
440,accel_x,-18
440,accel_y,-23
440,accel_z,1015
460,accel_x,35
460,accel_y,55
460,accel_z,1016
480,accel_x,-7
480,accel_y,98
480,accel_z,971
500,accel_x,42
500,accel_y,-23
500,accel_z,1029
520,accel_x,14
520,accel_y,21
520,accel_z,1007
540,accel_x,46
540,accel_y,9
540,accel_z,942
560,accel_x,-38
560,accel_y,-78
560,accel_z,988
580,accel_x,27
580,accel_y,25
580,accel_z,1016
600,accel_x,23
600,accel_y,-4
600,accel_z,982
620,accel_x,38
620,accel_y,55
620,accel_z,976
640,accel_x,-57
640,accel_y,0
640,accel_z,967
660,accel_x,-46
660,accel_y,-19
660,accel_z,972
680,accel_x,-12
680,accel_y,-52
680,accel_z,1022
700,accel_x,35
700,accel_y,20
700,accel_z,1015
720,accel_x,-19
720,accel_y,39
720,accel_z,987
740,accel_x,-56
740,accel_y,39
740,accel_z,1005
760,accel_x,29
760,accel_y,-7
760,accel_z,951
780,accel_x,28
780,accel_y,-83
780,accel_z,1002
800,accel_x,-33
800,accel_y,-4
800,accel_z,1004
820,accel_x,-22
820,accel_y,-58
820,accel_z,1042
840,accel_x,3
840,accel_y,22
840,accel_z,1035
860,accel_x,21
860,accel_y,-5
860,accel_z,956
880,accel_x,35
880,accel_y,38
880,accel_z,1005
900,accel_x,13
900,accel_y,8
900,accel_z,952
920,accel_x,-5
920,accel_y,60
920,accel_z,1007
940,accel_x,23
940,accel_y,-39
940,accel_z,967
960,accel_x,-8
960,accel_y,-15
960,accel_z,1009
980,accel_x,85
980,accel_y,-73
980,accel_z,1004
1000,accel_x,-41
1000,accel_y,42
1000,accel_z,980
1020,accel_x,-38
1020,accel_y,8
1020,accel_z,1005
1040,accel_x,1
1040,accel_y,-16
1040,accel_z,969
1060,accel_x,14
1060,accel_y,1
1060,accel_z,1002
1080,accel_x,4
1080,accel_y,-34
1080,accel_z,1049
1100,accel_x,9
1100,accel_y,48
1100,accel_z,978
1120,accel_x,-31
1120,accel_y,-41
1120,accel_z,1005
1140,accel_x,63
1140,accel_y,-40
1140,accel_z,1065
1160,accel_x,7
1160,accel_y,-17
1160,accel_z,1044
1180,accel_x,39
1180,accel_y,-37
1180,accel_z,992
1200,accel_x,-31
1200,accel_y,45
1200,accel_z,1017
1220,accel_x,-16
1220,accel_y,-14
1220,accel_z,982
1240,accel_x,-3
1240,accel_y,-34
1240,accel_z,991
1260,accel_x,-6
1260,accel_y,3
1260,accel_z,1001
1280,accel_x,8
1280,accel_y,-27
1280,accel_z,962
1300,accel_x,5
1300,accel_y,-31
1300,accel_z,968
1320,accel_x,47
1320,accel_y,-16
1320,accel_z,986
1340,accel_x,-35
1340,accel_y,8
1340,accel_z,998
1360,accel_x,16
1360,accel_y,-35
1360,accel_z,964
1380,accel_x,-52
1380,accel_y,13
1380,accel_z,1016
1400,accel_x,38
1400,accel_y,-15
1400,accel_z,1000
1420,accel_x,0
1420,accel_y,-2
1420,accel_z,1001
1440,accel_x,24
1440,accel_y,32
1440,accel_z,973
1460,accel_x,-41
1460,accel_y,-35
1460,accel_z,1004
1480,accel_x,-39
1480,accel_y,5
1480,accel_z,984
1500,accel_x,78
1500,accel_y,-49
1500,accel_z,965
1520,accel_x,-9
1520,accel_y,-28
1520,accel_z,1011
1540,accel_x,-20
1540,accel_y,-12
1540,accel_z,1013
1560,accel_x,-26
1560,accel_y,-72
1560,accel_z,974
1580,accel_x,-11
1580,accel_y,-29
1580,accel_z,982
1600,accel_x,31
1600,accel_y,136
1600,accel_z,1028
1620,accel_x,61
1620,accel_y,-3
1620,accel_z,915
1640,accel_x,-17
1640,accel_y,75
1640,accel_z,983
1660,accel_x,30
1660,accel_y,45
1660,accel_z,976
1680,accel_x,53
1680,accel_y,-40
1680,accel_z,1009
1700,accel_x,33
1700,accel_y,25
1700,accel_z,1040
1720,accel_x,-75
1720,accel_y,44
1720,accel_z,1007
1740,accel_x,-9
1740,accel_y,52
1740,accel_z,1038
1760,accel_x,42
1760,accel_y,90
1760,accel_z,996
1780,accel_x,-33
1780,accel_y,-6
1780,accel_z,949
1800,accel_x,18
1800,accel_y,38
1800,accel_z,1004
1820,accel_x,0
1820,accel_y,-59
1820,accel_z,974
1840,accel_x,-11
1840,accel_y,-39
1840,accel_z,973
1860,accel_x,-28
