timestamp_ms,sensor,value
0,temp,13.97
0,light,27
100,temp,13.92
100,light,27
200,temp,14.29
200,light,33
300,temp,14.08
300,light,29
400,temp,13.99
400,light,29
500,temp,14.01
500,light,37
600,temp,13.9
600,light,29
700,temp,14.04
700,light,37
800,temp,14
800,light,28
900,temp,14.28
900,light,34
1000,temp,13.94
1000,light,32
1100,temp,13.92
1100,light,30
1200,temp,14.07
1200,light,33
1300,temp,13.87
1300,light,36
1400,temp,13.9
1400,light,37
1500,temp,14.03
1500,light,34
1600,temp,14.17
1600,light,33
1700,temp,14
1700,light,24
1800,temp,14.03
1800,light,33
1900,temp,14.16
1900,light,30
2000,temp,14.05
2000,light,32
2100,temp,14.14
2100,light,31
2200,temp,14.03
2200,light,35
2300,temp,14.08
2300,light,29
2400,temp,14.08
2400,light,23
2500,temp,14.1
2500,light,34
2600,temp,14.16
2600,light,36
2700,temp,14.22
2700,light,41
2800,temp,14.03
2800,light,32
2900,temp,14.02
2900,light,30
3000,temp,14.29
3000,light,42
3100,temp,14.09
3100,light,32
3200,temp,14.06
3200,light,40
3300,temp,14.16
3300,light,30
3400,temp,14.19
3400,light,27
3500,temp,14.18
3500,light,37
3600,temp,14.14
3600,light,36
3700,temp,14.06
3700,light,46
3800,temp,14.2
3800,light,37
3900,temp,14.22
3900,light,37
4000,temp,14.27
4000,light,36
4100,temp,14.24
4100,light,29
4200,temp,14.08
4200,light,34
4300,temp,14.18
4300,light,41
4400,temp,14.04
4400,light,38
4500,temp,14.24
4500,light,41
4600,temp,13.97
4600,light,40
4700,temp,14.2
4700,light,45
4800,temp,14.25
4800,light,29
4900,temp,14.11
4900,light,40
5000,temp,14.5
5000,light,35
5100,temp,14.19
5100,light,36
5200,temp,14.48
5200,light,32
5300,temp,14.28
5300,light,46
5400,temp,14.17
5400,light,39
5500,temp,14.39
5500,light,42
5600,temp,14.1
5600,light,42
5700,temp,14.1
5700,light,43
5800,temp,14.26
5800,light,33
5900,temp,14.31
5900,light,33
6000,temp,14.31
6000,light,38
6100,temp,14.25
6100,light,42
6200,temp,14.29
6200,light,36
6300,temp,14.18
6300,light,44
6400,temp,14.15
6400,light,38
6500,temp,14.36
6500,light,32
6600,temp,14.23
6600,light,38
6700,temp,14.36
6700,light,34
6800,temp,14.32
6800,light,37
6900,temp,14.35
6900,light,43
7000,temp,14.28
7000,light,39
7100,temp,14.2
7100,light,39
7200,temp,14.3
7200,light,35
7300,temp,14.29
7300,light,36
7400,temp,14.47
7400,light,40
7500,temp,14.29
7500,light,42
7600,temp,14.15
7600,light,34
7700,temp,14.27
7700,light,41
7800,temp,14.29
7800,light,43
7900,temp,14.49
7900,light,31
8000,temp,14.33
8000,light,41
8100,temp,14.27
8100,light,42
8200,temp,14.14
8200,light,40
8300,temp,14.3
8300,light,36
8400,temp,14.57
8400,light,41
8500,temp,14.37
8500,light,40
8600,temp,14.34
8600,light,45
8700,temp,14.54
8700,light,36
8800,temp,14.39
8800,light,44
8900,temp,14.34
8900,light,40
9000,temp,14.48
9000,light,42
9100,temp,14.23
9100,light,37
9200,temp,14.4
9200,light,52
9300,temp,14.35
9300,light,46
9400,temp,14.24
9400,light,51
9500,temp,14.38
9500,light,36
9600,temp,14.6
9600,light,48
9700,temp,14.45
9700,light,42
9800,temp,14.35
9800,light,39
9900,temp,14.51
9900,light,47
10000,temp,14.46
10000,light,46
10100,temp,14.54
10100,light,44
10200,temp,14.66
10200,light,50
10300,temp,14.52
10300,light,51
10400,temp,14.56
10400,light,39
10500,temp,14.54
10500,light,43
10600,temp,14.3
10600,light,41
10700,temp,14.46
10700,light,53
10800,temp,14.49
10800,light,44
10900,temp,14.47
10900,light,43
11000,temp,14.52
11000,light,41
11100,temp,14.71
11100,light,45
11200,temp,14.51
11200,light,44
11300,temp,14.36
11300,light,45
11400,temp,14.54
11400,light,47
11500,temp,14.72
11500,light,47
11600,temp,14.62
11600,light,45
11700,temp,14.46
11700,light,44
11800,temp,14.6
11800,light,43
11900,temp,14.52
11900,light,48
12000,temp,14.48
12000,light,48
12100,temp,14.52
12100,light,45
12200,temp,14.58
12200,light,49
12300,temp,14.64
12300,light,46
12400,temp,14.53
12400,light,45
12500,temp,14.51
12500,light,43
12600,temp,14.48
12600,light,44
12700,temp,14.64
12700,light,45
12800,temp,14.5
12800,light,49
12900,temp,14.5
12900,light,44
13000,temp,14.7
13000,light,39
13100,temp,14.58
13100,light,40
13200,temp,14.6
13200,light,45
13300,temp,14.51
13300,light,51
13400,temp,14.72
13400,light,53
13500,temp,14.6
13500,light,45
13600,temp,14.63
13600,light,40
13700,temp,14.57
13700,light,55
13800,temp,14.58
13800,light,56
13900,temp,14.54
13900,light,49
14000,temp,14.54
14000,light,53
14100,temp,14.68
14100,light,40
14200,temp,14.79
14200,light,54
14300,temp,14.62
14300,light,53
14400,temp,14.71
14400,light,45
14500,temp,14.71
14500,light,52
14600,temp,14.67
14600,light,55
14700,temp,14.66
14700,light,43
14800,temp,14.56
14800,light,51
14900,temp,14.76
14900,light,51
15000,temp,14.48
15000,light,48
15100,temp,14.65
15100,light,57
15200,temp,14.77
15200,light,53
15300,temp,14.75
15300,light,49
15400,temp,14.56
15400,light,54
15500,temp,14.57
15500,light,58
15600,temp,14.7
15600,light,47
15700,temp,14.77
15700,light,49
15800,temp,14.58
15800,light,48
15900,temp,14.67
15900,light,45
16000,temp,14.68
16000,light,46
16100,temp,14.78
16100,light,52
16200,temp,14.77
16200,light,47
16300,temp,14.67
16300,light,50
16400,temp,14.78
16400,light,53
16500,temp,14.63
16500,light,51
16600,temp,14.67
16600,light,52
16700,temp,14.86
16700,light,46
16800,temp,14.88
16800,light,51
16900,temp,14.9
16900,light,47
17000,temp,14.6
17000,light,52
17100,temp,14.87
17100,light,48
17200,temp,14.84
17200,light,52
17300,temp,14.71
17300,light,46
17400,temp,14.61
17400,light,51
17500,temp,14.81
17500,light,56
17600,temp,14.81
17600,light,48
17700,temp,14.83
17700,light,55
17800,temp,14.62
17800,light,49
17900,temp,14.73
17900,light,55
18000,temp,14.8
18000,light,59
18100,temp,14.88
18100,light,52
18200,temp,14.7
18200,light,57
18300,temp,14.85
18300,light,58
18400,temp,14.9
18400,light,47
18500,temp,14.94
18500,light,59
18600,temp,14.68
18600,light,51
18700,temp,14.9
18700,light,61
18800,temp,14.84
18800,light,56
18900,temp,14.79
18900,light,47
19000,temp,14.97
19000,light,65
19100,temp,14.85
19100,light,60
19200,temp,14.85
19200,light,55
19300,temp,14.72
19300,light,56
19400,temp,14.8
19400,light,54
19500,temp,14.85
19500,light,57
19600,temp,14.96
19600,light,56
19700,temp,14.98
19700,light,54
19800,temp,14.87
19800,light,55
19900,temp,14.98
19900,light,50
20000,temp,14.91
20000,light,57
20100,temp,14.78
20100,light,60
20200,temp,14.86
20200,light,53
20300,temp,14.82
20300,light,57
20400,temp,14.97
20400,light,62
20500,temp,14.86
20500,light,63
20600,temp,15.15
20600,light,56
20700,temp,14.93
20700,light,52
20800,temp,15.19
20800,light,59
20900,temp,14.87
20900,light,62
21000,temp,14.9
21000,light,65
21100,temp,14.9
21100,light,58
21200,temp,14.91
21200,light,62
21300,temp,14.89
21300,light,56
21400,temp,14.92
21400,light,56
21500,temp,15.11
21500,light,56
21600,temp,14.87
21600,light,60
21700,temp,15.01
21700,light,58
21800,temp,15.02
21800,light,53
21900,temp,14.99
21900,light,58
22000,temp,15.06
22000,light,68
22100,temp,14.9
22100,light,54
22200,temp,15.12
22200,light,58
22300,temp,14.88
22300,light,55
22400,temp,15.02
22400,light,57
22500,temp,14.95
22500,light,61
22600,temp,14.78
22600,light,57
22700,temp,14.89
22700,light,64
22800,temp,14.94
22800,light,58
22900,temp,14.96
22900,light,66
23000,temp,15.02
23000,light,58
23100,temp,15.08
23100,light,63
23200,temp,14.87
23200,light,62
23300,temp,15.12
23300,light,68
23400,temp,15.14
23400,light,67
23500,temp,14.95
23500,light,70
23600,temp,15.03
23600,light,57
23700,temp,15.14
23700,light,68
23800,temp,14.91
23800,light,71
23900,temp,15.16
23900,light,58
24000,temp,15.06
24000,light,61
24100,temp,15.02
24100,light,54
24200,temp,15.15
24200,light,69
24300,temp,15.08
24300,light,63
24400,temp,15.23
24400,light,60
24500,temp,15.11
24500,light,58
24600,temp,15.09
24600,light,69
24700,temp,15.01
24700,light,72
24800,temp,15.14
24800,light,59
24900,temp,15.11
24900,light,67
25000,temp,15.35
25000,light,67
25100,temp,15.22
25100,light,62
25200,temp,15.09
25200,light,65
25300,temp,15.12
25300,light,67
25400,temp,15.16
25400,light,63
25500,temp,15.29
25500,light,62
25600,temp,14.95
25600,light,58
25700,temp,15.05
25700,light,59
25800,temp,15.3
25800,light,59
25900,temp,15.3
25900,light,69
26000,temp,15.2
26000,light,60
26100,temp,15.02
26100,light,69
26200,temp,15.13
26200,light,65
26300,temp,15.12
26300,light,69
26400,temp,15.04
26400,light,74
26500,temp,15.26
26500,light,72
26600,temp,15.11
26600,light,71
26700,temp,15.18
26700,light,65
26800,temp,15.12
26800,light,62
26900,temp,15.13
26900,light,63
27000,temp,15.29
27000,light,72
27100,temp,15.19
27100,light,64
27200,temp,15.12
27200,light,70
27300,temp,15.17
27300,light,58
27400,temp,15.19
27400,light,65
27500,temp,15.2
27500,light,69
27600,temp,15.35
27600,light,77
27700,temp,15.29
27700,light,61
27800,temp,15.19
27800,light,66
27900,temp,15.39
27900,light,66
28000,temp,15.18
28000,light,69
28100,temp,15.31
28100,light,75
28200,temp,15.32
28200,light,70
28300,temp,15.16
28300,light,64
28400,temp,15.21
28400,light,61
28500,temp,15.09
28500,light,66
28600,temp,15.32
28600,light,69
28700,temp,15.23
28700,light,71
28800,temp,15.28
28800,light,62
28900,temp,15.29
28900,light,64
29000,temp,15.16
29000,light,67
29100,temp,15.27
29100,light,69
29200,temp,15.35
29200,light,77
29300,temp,15.45
29300,light,72
29400,temp,15.3
29400,light,64
29500,temp,15.3
29500,light,65
29600,temp,15.3
29600,light,63
29700,temp,15.32
29700,light,72
29800,temp,15.03
29800,light,69
29900,temp,15.39
29900,light,71
30000,temp,15.19
30000,light,75
30100,temp,15.43
30100,light,70
30200,temp,15.38
30200,light,64
30300,temp,15.28
30300,light,71
30400,temp,15.42
30400,light,72
30500,temp,15.33
30500,light,73
30600,temp,15.39
30600,light,70
30700,temp,15.39
30700,light,69
30800,temp,15.31
30800,light,71
30900,temp,15.39
30900,light,78
31000,temp,15.32
31000,light,73
31100,temp,15.29
31100,light,64
31200,temp,15.28
31200,light,69
31300,temp,15.55
31300,light,73
31400,temp,15.5
31400,light,67
31500,temp,15.34
31500,light,68
31600,temp,15.42
31600,light,77
31700,temp,15.47
31700,light,73
31800,temp,15.45
31800,light,66
31900,temp,15.53
31900,light,65
32000,temp,15.52
32000,light,79
32100,temp,15.28
32100,light,72
32200,temp,15.5
32200,light,74
32300,temp,15.35
32300,light,78
32400,temp,15.3
32400,light,74
32500,temp,15.4
32500,light,73
32600,temp,15.19
32600,light,61
32700,temp,15.62
32700,light,79
32800,temp,15.34
32800,light,77
32900,temp,15.57
32900,light,81
33000,temp,15.61
33000,light,84
33100,temp,15.38
33100,light,74
33200,temp,15.69
33200,light,68
33300,temp,15.52
33300,light,77
33400,temp,15.47
33400,light,79
33500,temp,15.55
33500,light,79
33600,temp,15.54
33600,light,77
33700,temp,15.47
33700,light,78
33800,temp,15.58
33800,light,74
33900,temp,15.63
33900,light,74
34000,temp,15.35
34000,light,71
34100,temp,15.54
34100,light,76
34200,temp,15.61
34200,light,72
34300,temp,15.45
34300,light,74
34400,temp,15.61
34400,light,80
34500,temp,15.58
34500,light,76
34600,temp,15.57
34600,light,81
34700,temp,15.44
34700,light,75
34800,temp,15.55
34800,light,87
34900,temp,15.55
34900,light,76
35000,temp,15.5
35000,light,84
35100,temp,15.56
35100,light,87
35200,temp,15.61
35200,light,81
35300,temp,15.64
35300,light,81
35400,temp,15.64
35400,light,79
35500,temp,15.52
35500,light,79
35600,temp,15.47
35600,light,77
35700,temp,15.58
35700,light,73
35800,temp,15.73
35800,light,78
35900,temp,15.5
35900,light,83
36000,temp,15.76
36000,light,80
36100,temp,15.68
36100,light,81
36200,temp,15.54
36200,light,74
36300,temp,15.59
36300,light,81
36400,temp,15.68
36400,light,78
36500,temp,15.59
36500,light,81
36600,temp,15.51
36600,light,77
36700,temp,15.75
36700,light,75
36800,temp,15.63
36800,light,77
36900,temp,15.55
36900,light,77
37000,temp,15.71
37000,light,80
37100,temp,15.6
37100,light,77
37200,temp,15.75
37200,light,80
37300,temp,15.48
37300,light,83
37400,temp,15.56
37400,light,75
37500,temp,15.81
37500,light,83
37600,temp,15.6
37600,light,79
37700,temp,15.58
37700,light,81
37800,temp,15.74
37800,light,84
37900,temp,15.66
37900,light,84
38000,temp,15.65
38000,light,82
38100,temp,15.64
38100,light,73
38200,temp,15.45
38200,light,81
38300,temp,15.66
38300,light,75
38400,temp,15.71
38400,light,81
38500,temp,15.82
38500,light,81
38600,temp,15.71
38600,light,78
38700,temp,15.67
38700,light,80
38800,temp,15.85
38800,light,78
38900,temp,15.85
38900,light,79
39000,temp,15.78
39000,light,81
39100,temp,15.76
39100,light,81
39200,temp,15.91
39200,light,83
39300,temp,15.76
39300,light,83
39400,temp,15.72
39400,light,84
39500,temp,15.67
39500,light,87
39600,temp,15.99
39600,light,85
39700,temp,15.78
39700,light,89
39800,temp,15.88
39800,light,83
39900,temp,15.9
39900,light,85
40000,temp,15.75
40000,light,85
40100,temp,15.81
40100,light,93
40200,temp,15.76
40200,light,83
40300,temp,15.78
40300,light,77
40400,temp,15.8
40400,light,83
40500,temp,15.67
40500,light,88
40600,temp,15.85
40600,light,87
40700,temp,15.79
40700,light,79
40800,temp,15.81
40800,light,83
40900,temp,15.94
40900,light,79
41000,temp,15.92
41000,light,84
41100,temp,15.73
41100,light,78
41200,temp,15.73
41200,light,82
41300,temp,15.86
41300,light,86
41400,temp,15.73
41400,light,86
41500,temp,15.78
41500,light,90
41600,temp,15.89
41600,light,87
41700,temp,15.88
41700,light,87
41800,temp,15.8
41800,light,89
41900,temp,15.81
41900,light,83
42000,temp,15.85
42000,light,79
42100,temp,16.12
42100,light,88
42200,temp,15.8
42200,light,86
42300,temp,15.97
42300,light,92
42400,temp,15.92
42400,light,85
42500,temp,16.07
42500,light,83
42600,temp,15.99
42600,light,87
42700,temp,16.01
42700,light,90
42800,temp,15.88
42800,light,81
42900,temp,15.87
42900,light,90
43000,temp,15.83
43000,light,91
43100,temp,15.98
43100,light,78
43200,temp,15.79
43200,light,89
43300,temp,16.05
43300,light,88
43400,temp,16.12
43400,light,93
43500,temp,16.01
43500,light,89
43600,temp,15.95
43600,light,91
43700,temp,15.87
43700,light,87
43800,temp,16
43800,light,96
43900,temp,15.98
43900,light,91
44000,temp,15.91
44000,light,83
44100,temp,16.02
44100,light,85
44200,temp,15.93
44200,light,91
44300,temp,15.91
44300,light,86
44400,temp,15.99
44400,light,88
44500,temp,16
44500,light,92
44600,temp,15.99
44600,light,90
44700,temp,16.08
44700,light,83
44800,temp,16
44800,light,90
44900,temp,16.04
44900,light,87
45000,temp,16.04
45000,light,92
45100,temp,15.83
45100,light,90
45200,temp,16.04
45200,light,89
45300,temp,16.14
45300,light,92
45400,temp,16.1
45400,light,87
45500,temp,15.97
45500,light,96
45600,temp,16.15
45600,light,87
45700,temp,16.17
45700,light,85
45800,temp,16.1
45800,light,89
45900,temp,16.28
45900,light,93
46000,temp,16.07
46000,light,95
46100,temp,15.83
46100,light,89
46200,temp,16.14
46200,light,86
46300,temp,16.05
46300,light,90
46400,temp,16.16
46400,light,96
46500,temp,16.12
46500,light,93
46600,temp,16.06
46600,light,99
46700,temp,16.14
46700,light,98
46800,temp,16.09
46800,light,95
46900,temp,16.04
46900,light,92
47000,temp,16.01
47000,light,91
47100,temp,16.13
47100,light,100
47200,temp,16.05
47200,light,91
47300,temp,16.13
47300,light,95
47400,temp,15.91
47400,light,96
47500,temp,16.17
47500,light,91
47600,temp,16.11
47600,light,89
47700,temp,16.13
47700,light,92
47800,temp,16.25
47800,light,95
47900,temp,16.21
47900,light,99
48000,temp,16.12
48000,light,89
48100,temp,16.17
48100,light,87
48200,temp,16.09
48200,light,92
48300,temp,15.97
48300,light,95
48400,temp,16.07
48400,light,95
48500,temp,16.09
48500,light,93
48600,temp,16.01
48600,light,92
48700,temp,16.15
48700,light,95
48800,temp,16.08
48800,light,94
48900,temp,16.29
48900,light,90
49000,temp,16.08
49000,light,106
49100,temp,16.11
49100,light,96
49200,temp,16.12
49200,light,90
49300,temp,16.01
49300,light,97
49400,temp,16.15
49400,light,94
49500,temp,16.26
49500,light,99
49600,temp,16.15
49600,light,101
49700,temp,16.09
49700,light,97
49800,temp,16.34
49800,light,96
49900,temp,16.04
49900,light,90
50000,temp,16.26
50000,light,90
50100,temp,16.27
50100,light,101
50200,temp,16.25
50200,light,98
50300,temp,16
50300,light,94
50400,temp,16.31
50400,light,95
50500,temp,16.28
50500,light,98
50600,temp,16.25
50600,light,100
50700,temp,16.24
50700,light,98
50800,temp,16.17
50800,light,103
50900,temp,16.33
50900,light,100
51000,temp,16.51
51000,light,95
51100,temp,16.26
51100,light,105
51200,temp,16.49
51200,light,97
51300,temp,16.14
51300,light,93
51400,temp,16.2
51400,light,95
51500,temp,16.28
51500,light,94
51600,temp,16.32
51600,light,100
51700,temp,16.41
51700,light,109
51800,temp,16.45
51800,light,102
51900,temp,16.37
51900,light,109
52000,temp,16.26
52000,light,98
52100,temp,16.02
52100,light,104
52200,temp,16.3
52200,light,95
52300,temp,16.42
52300,light,102
52400,temp,16.25
52400,light,97
52500,temp,16.36
52500,light,99
52600,temp,16.43
52600,light,101
52700,temp,16.47
52700,light,95
52800,temp,16.55
52800,light,103
52900,temp,16.29
52900,light,101
53000,temp,16.37
53000,light,105
53100,temp,16.48
53100,light,101
53200,temp,16.36
53200,light,100
53300,temp,16.5
53300,light,96
53400,temp,16.35
53400,light,112
53500,temp,16.48
