timestamp_ms,sensor,value
0,accel_x,11
0,accel_y,529
0,accel_z,961
40,accel_x,40
40,accel_y,448
40,accel_z,1005
80,accel_x,163
80,accel_y,509
80,accel_z,1124
120,accel_x,197
120,accel_y,424
120,accel_z,1112
160,accel_x,242
160,accel_y,461
160,accel_z,1046
200,accel_x,143
200,accel_y,402
200,accel_z,1161
240,accel_x,311
240,accel_y,417
240,accel_z,1040
280,accel_x,561
280,accel_y,328
280,accel_z,965
320,accel_x,385
320,accel_y,453
320,accel_z,1019
360,accel_x,397
360,accel_y,315
360,accel_z,1025
400,accel_x,487
400,accel_y,427
400,accel_z,1066
440,accel_x,450
440,accel_y,265
440,accel_z,1058
480,accel_x,430
480,accel_y,313
480,accel_z,1090
520,accel_x,387
520,accel_y,425
520,accel_z,1135
560,accel_x,583
560,accel_y,245
560,accel_z,1156
600,accel_x,556
600,accel_y,246
600,accel_z,1128
640,accel_x,564
640,accel_y,228
640,accel_z,1188
680,accel_x,496
680,accel_y,107
680,accel_z,1000
720,accel_x,514
720,accel_y,167
720,accel_z,1104
760,accel_x,607
760,accel_y,140
760,accel_z,1103
800,accel_x,528
800,accel_y,54
800,accel_z,1142
840,accel_x,658
840,accel_y,52
840,accel_z,1137
880,accel_x,609
880,accel_y,148
880,accel_z,1102
920,accel_x,500
920,accel_y,150
920,accel_z,1138
960,accel_x,389
960,accel_y,49
960,accel_z,1082
1000,accel_x,484
1000,accel_y,-57
1000,accel_z,1166
1040,accel_x,403
1040,accel_y,-1
1040,accel_z,1072
1080,accel_x,420
1080,accel_y,-104
1080,accel_z,1281
1120,accel_x,374
1120,accel_y,-112
1120,accel_z,1185
1160,accel_x,261
1160,accel_y,-105
1160,accel_z,1123
1200,accel_x,195
1200,accel_y,-224
1200,accel_z,1018
1240,accel_x,192
1240,accel_y,-254
1240,accel_z,1101
1280,accel_x,182
1280,accel_y,-235
1280,accel_z,1085
1320,accel_x,-67
1320,accel_y,-260
1320,accel_z,1181
1360,accel_x,89
1360,accel_y,-325
1360,accel_z,1097
1400,accel_x,-53
1400,accel_y,-371
1400,accel_z,1126
1440,accel_x,-87
1440,accel_y,-199
1440,accel_z,1135
1480,accel_x,-179
1480,accel_y,-92
1480,accel_z,1191
1520,accel_x,-69
1520,accel_y,-424
1520,accel_z,1190
1560,accel_x,-167
1560,accel_y,-550
1560,accel_z,1167
1600,accel_x,-407
1600,accel_y,-304
1600,accel_z,1070
1640,accel_x,-233
1640,accel_y,-410
1640,accel_z,1041
1680,accel_x,-594
1680,accel_y,-301
1680,accel_z,1182
1720,accel_x,-544
1720,accel_y,-331
1720,accel_z,1180
1760,accel_x,-549
1760,accel_y,-626
1760,accel_z,1110
1800,accel_x,-565
1800,accel_y,-548
1800,accel_z,1147
1840,accel_x,-457
1840,accel_y,-388
1840,accel_z,1090
1880,accel_x,-501
1880,accel_y,-427
1880,accel_z,1108
1920,accel_x,-459
1920,accel_y,-375
1920,accel_z,1090
1960,accel_x,-595
1960,accel_y,-466
1960,accel_z,1148
2000,accel_x,-643
2000,accel_y,-355
2000,accel_z,1068
2040,accel_x,-511
2040,accel_y,-406
2040,accel_z,1236
2080,accel_x,-577
2080,accel_y,-414
