timestamp_ms,sensor,value
0,sound,40
100,sound,40
200,sound,39
300,sound,40
400,sound,41
500,sound,39
600,sound,39
700,sound,38
800,sound,41
900,sound,38
1000,sound,39
1100,sound,40
1200,sound,39
1300,sound,40
1400,sound,39
1500,sound,41
1600,sound,39
1700,sound,41
1800,sound,39
1900,sound,39
2000,sound,40
2100,sound,40
2200,sound,39
2300,sound,39
2400,sound,41
2500,sound,38
2600,sound,39
2700,sound,41
2800,sound,39
2900,sound,39
3000,sound,39
3100,sound,38
3200,sound,38
3300,sound,39
3400,sound,38
3500,sound,38
3600,sound,38
3700,sound,39
3800,sound,40
3900,sound,39
4000,sound,38
4100,sound,215
4200,sound,39
4300,sound,40
4400,sound,41
4500,sound,39
4600,sound,39
4700,sound,38
4800,sound,39
4900,sound,38
5000,sound,39
5100,sound,40
5200,sound,40
5300,sound,38
5400,sound,40
5500,sound,38
5600,sound,39
5700,sound,38
5800,sound,40
5900,sound,40
6000,sound,41
6100,sound,42
6200,sound,39
6300,sound,39
6400,sound,39
6500,sound,38
6600,sound,43
6700,sound,41
6800,sound,39
6900,sound,41
7000,sound,42
7100,sound,39
7200,sound,39
7300,sound,40
7400,sound,38
7500,sound,38
7600,sound,41
7700,sound,43
7800,sound,39
7900,sound,40
8000,sound,39
8100,sound,39
8200,sound,38
8300,sound,39
8400,sound,42
8500,sound,38
8600,sound,38
8700,sound,41
8800,sound,38
8900,sound,38
9000,sound,41
9100,sound,40
9200,sound,39
9300,sound,38
9400,sound,39
9500,sound,42
9600,sound,38
9700,sound,40
9800,sound,42
9900,sound,38
10000,sound,40
10100,sound,41
10200,sound,42
10300,sound,41
10400,sound,40
10500,sound,42
10600,sound,41
10700,sound,42
10800,sound,39
10900,sound,39
11000,sound,40
11100,sound,40
11200,sound,40
11300,sound,39
11400,sound,41
11500,sound,41
11600,sound,43
11700,sound,41
11800,sound,39
11900,sound,41
12000,sound,39
12100,sound,39
12200,sound,42
12300,sound,39
12400,sound,40
12500,sound,38
12600,sound,182
12700,sound,39
12800,sound,41
12900,sound,41
13000,sound,41
13100,sound,38
13200,sound,39
13300,sound,39
13400,sound,41
13500,sound,39
13600,sound,39
13700,sound,39
13800,sound,41
13900,sound,40
14000,sound,41
14100,sound,41
14200,sound,38
14300,sound,40
14400,sound,40
14500,sound,39
14600,sound,41
14700,sound,39
14800,sound,39
14900,sound,40
15000,sound,38
15100,sound,39
15200,sound,41
15300,sound,40
15400,sound,41
15500,sound,40
15600,sound,39
15700,sound,40
15800,sound,40
15900,sound,38
16000,sound,39
16100,sound,40
16200,sound,40
16300,sound,41
16400,sound,39
16500,sound,43
16600,sound,41
16700,sound,42
16800,sound,41
16900,sound,43
17000,sound,38
17100,sound,39
17200,sound,40
17300,sound,38
17400,sound,41
17500,sound,41
17600,sound,40
17700,sound,41
17800,sound,41
17900,sound,39
18000,sound,42
18100,sound,43
18200,sound,38
18300,sound,38
18400,sound,39
18500,sound,38
18600,sound,38
18700,sound,38
18800,sound,40
18900,sound,38
19000,sound,40
19100,sound,42
19200,sound,40
19300,sound,39
19400,sound,39
19500,sound,39
19600,sound,39
19700,sound,41
19800,sound,38
19900,sound,41
20000,sound,40
20100,sound,41
20200,sound,39
20300,sound,38
20400,sound,40
20500,sound,39
20600,sound,42
20700,sound,39
20800,sound,40
20900,sound,39
21000,sound,40
21100,sound,39
21200,sound,202
21300,sound,40
21400,sound,42
21500,sound,39
21600,sound,39
21700,sound,41
21800,sound,40
21900,sound,39
22000,sound,42
22100,sound,40
22200,sound,38
22300,sound,41
22400,sound,39
22500,sound,42
22600,sound,41
22700,sound,38
22800,sound,38
22900,sound,38
23000,sound,38
23100,sound,41
23200,sound,39
23300,sound,39
23400,sound,39
23500,sound,41
23600,sound,40
23700,sound,40
23800,sound,39
23900,sound,39
24000,sound,38
24100,sound,38
24200,sound,40
24300,sound,39
24400,sound,39
24500,sound,39
24600,sound,43
24700,sound,39
24800,sound,40
24900,sound,39
25000,sound,40
25100,sound,38
25200,sound,39
25300,sound,38
25400,sound,38
25500,sound,39
25600,sound,39
25700,sound,38
25800,sound,38
25900,sound,41
26000,sound,38
26100,sound,40
26200,sound,41
26300,sound,42
26400,sound,40
26500,sound,39
26600,sound,39
26700,sound,38
26800,sound,42
26900,sound,40
27000,sound,38
27100,sound,42
27200,sound,40
27300,sound,40
27400,sound,200
27500,sound,41
27600,sound,38
27700,sound,41
27800,sound,38
27900,sound,40
28000,sound,39
28100,sound,41
28200,sound,40
28300,sound,40
28400,sound,39
28500,sound,39
28600,sound,39
28700,sound,40
28800,sound,38
28900,sound,40
29000,sound,39
29100,sound,42
29200,sound,39
29300,sound,40
29400,sound,41
29500,sound,39
29600,sound,41
29700,sound,39
29800,sound,40
29900,sound,39
