timestamp_ms,sensor,value
0,temp,21.62
50,temp,21.78
100,temp,22.35
150,temp,21.87
200,temp,22.03
250,temp,22.03
300,temp,22.34
350,temp,21.81
400,temp,21.81
450,temp,21.77
500,temp,22.61
550,temp,21.79
600,temp,22.29
650,temp,22.31
700,temp,22.36
750,temp,22.48
800,temp,21.73
850,temp,21.71
900,temp,21.91
950,temp,21.76
1000,temp,21.89
1050,temp,21.54
1100,temp,21.98
1150,temp,22
1200,temp,22.28
1250,temp,21.73
1300,temp,22.08
1350,temp,22.25
1400,temp,21.87
1450,temp,21.46
1500,temp,21.63
1550,temp,22.01
1600,temp,22.3
1650,temp,22.71
1700,temp,22.3
1750,temp,22.09
1800,temp,22.1
1850,temp,22.09
1900,temp,22.09
1950,temp,21.87
2000,temp,21.73
2050,temp,21.85
2100,temp,22.4
2150,temp,21.66
2200,temp,21.87
2250,temp,22.03
2300,temp,22.39
2350,temp,22.29
2400,temp,22.25
2450,temp,21.56
2500,temp,22.11
2550,temp,21.63
2600,temp,22.19
2650,temp,21.94
2700,temp,22.23
2750,temp,21.71
2800,temp,22.2
2850,temp,22.29
2900,temp,22.31
2950,temp,22.58
3000,temp,22.12
3050,temp,22.31
3100,temp,21.94
3150,temp,21.83
3200,temp,22.13
3250,temp,22.27
3300,temp,21.76
3350,temp,22.15
3400,temp,22.68
3450,temp,21.5
3500,temp,22.43
3550,temp,22.38
3600,temp,21.98
3650,temp,21.89
3700,temp,22.22
3750,temp,22.21
3800,temp,22.08
3850,temp,21.67
3900,temp,22.3
3950,temp,22.21
4000,temp,22.05
4050,temp,22.44
4100,temp,22.05
4150,temp,21.64
4200,temp,21.57
4250,temp,22
4300,temp,21.58
4350,temp,21.8
4400,temp,22.08
4450,temp,22.2
4500,temp,22.21
4550,temp,21.68
4600,temp,22.68
4650,temp,22.04
4700,temp,22.6
4750,temp,22.06
4800,temp,21.9
4850,temp,21.66
4900,temp,21.77
4950,temp,21.94
