timestamp_ms,sensor,value
0,temp,21.74
0,light,78
100,temp,21.92
100,light,78
200,temp,21.97
200,light,75
300,temp,21.73
300,light,76
400,temp,22.37
400,light,91
500,temp,22.09
500,light,92
600,temp,21.91
600,light,66
700,temp,22.09
700,light,71
800,temp,21.89
800,light,83
900,temp,22.07
900,light,85
1000,temp,22.06
1000,light,83
1100,temp,21.93
1100,light,96
1200,temp,22.02
1200,light,91
1300,temp,21.81
1300,light,96
1400,temp,22.25
1400,light,83
1500,temp,22.17
1500,light,82
1600,temp,22.33
1600,light,78
1700,temp,22.19
1700,light,86
1800,temp,21.98
1800,light,74
1900,temp,21.82
1900,light,73
2000,temp,21.82
2000,light,88
2100,temp,22
2100,light,88
2200,temp,22.08
2200,light,89
2300,temp,22.09
2300,light,82
2400,temp,21.89
2400,light,82
2500,temp,21.94
2500,light,82
2600,temp,22.05
2600,light,81
2700,temp,21.75
2700,light,93
2800,temp,21.97
2800,light,79
2900,temp,22.15
2900,light,65
3000,temp,21.93
3000,light,100
3100,temp,22.14
3100,light,88
3200,temp,22.16
3200,light,83
3300,temp,22.11
3300,light,102
3400,temp,22.23
3400,light,97
3500,temp,22.35
3500,light,83
3600,temp,22.65
3600,light,93
3700,temp,22.15
3700,light,86
3800,temp,22.26
3800,light,76
3900,temp,22.46
3900,light,93
4000,temp,22.18
4000,light,89
4100,temp,22.19
4100,light,98
4200,temp,22.41
4200,light,86
4300,temp,22.28
4300,light,74
4400,temp,22.24
4400,light,85
4500,temp,22.19
4500,light,94
4600,temp,22.22
4600,light,78
4700,temp,22.18
4700,light,89
4800,temp,22.26
4800,light,89
4900,temp,22.18
4900,light,94
5000,temp,22.24
5000,light,105
5100,temp,22.46
5100,light,75
5200,temp,21.93
5200,light,96
5300,temp,22.22
5300,light,96
5400,temp,22.29
5400,light,96
5500,temp,22.49
5500,light,95
5600,temp,22.13
5600,light,94
5700,temp,22.42
5700,light,86
5800,temp,22.16
5800,light,93
5900,temp,22.05
5900,light,82
6000,temp,22.28
6000,light,91
6100,temp,22.29
6100,light,96
6200,temp,22.42
6200,light,101
6300,temp,22.58
6300,light,100
6400,temp,22.37
6400,light,89
6500,temp,22.35
6500,light,81
6600,temp,22.3
6600,light,99
6700,temp,22.37
6700,light,100
6800,temp,22.16
6800,light,97
6900,temp,22.54
6900,light,95
7000,temp,22.09
7000,light,92
7100,temp,22.21
7100,light,93
7200,temp,22.26
7200,light,95
7300,temp,22.38
7300,light,93
7400,temp,22.48
7400,light,88
7500,temp,22.16
7500,light,80
7600,temp,22.42
7600,light,92
7700,temp,22.39
7700,light,95
7800,temp,22.57
7800,light,72
7900,temp,22.28
7900,light,75
8000,temp,22.42
8000,light,90
8100,temp,22.09
8100,light,94
8200,temp,22.7
8200,light,88
8300,temp,22.39
8300,light,99
8400,temp,22.5
8400,light,87
8500,temp,22.49
8500,light,85
8600,temp,22.42
8600,light,100
8700,temp,22.4
8700,light,93
8800,temp,22.25
8800,light,96
8900,temp,22.52
8900,light,109
9000,temp,22.56
9000,light,78
9100,temp,22.51
9100,light,93
9200,temp,22.49
9200,light,96
9300,temp,22.33
9300,light,99
9400,temp,22.38
9400,light,88
9500,temp,22.42
9500,light,80
9600,temp,22.49
9600,light,108
9700,temp,22.45
9700,light,104
9800,temp,22.47
9800,light,87
9900,temp,22.42
9900,light,95
10000,temp,22.33
10000,light,101
10100,temp,22.32
10100,light,94
10200,temp,22.45
10200,light,97
10300,temp,22.42
10300,light,102
10400,temp,22.45
10400,light,104
10500,temp,22.21
10500,light,93
10600,temp,22.37
10600,light,104
10700,temp,22.52
10700,light,114
10800,temp,22.71
10800,light,83
10900,temp,22.48
10900,light,96
11000,temp,22.6
11000,light,96
11100,temp,22.69
11100,light,86
11200,temp,22.63
11200,light,102
11300,temp,22.68
11300,light,108
11400,temp,22.53
11400,light,103
11500,temp,22.61
11500,light,111
11600,temp,22.38
11600,light,100
11700,temp,22.68
11700,light,105
11800,temp,22.54
11800,light,92
11900,temp,22.62
11900,light,84
12000,temp,22.4
12000,light,102
12100,temp,22.4
12100,light,113
12200,temp,22.63
12200,light,104
12300,temp,22.86
12300,light,116
12400,temp,22.63
12400,light,98
12500,temp,22.73
12500,light,92
12600,temp,22.54
12600,light,99
12700,temp,22.41
12700,light,98
12800,temp,22.54
12800,light,93
12900,temp,22.67
12900,light,107
13000,temp,22.43
13000,light,112
13100,temp,22.59
13100,light,119
13200,temp,22.37
13200,light,98
13300,temp,22.58
13300,light,109
13400,temp,22.69
13400,light,104
13500,temp,22.58
13500,light,97
13600,temp,22.78
13600,light,108
13700,temp,22.51
13700,light,94
13800,temp,22.78
13800,light,97
13900,temp,22.61
13900,light,111
14000,temp,22.73
14000,light,111
14100,temp,22.46
14100,light,104
14200,temp,22.8
14200,light,108
14300,temp,22.9
14300,light,109
14400,temp,22.87
14400,light,123
14500,temp,22.55
14500,light,109
14600,temp,22.61
14600,light,110
14700,temp,22.61
14700,light,109
14800,temp,22.57
14800,light,109
14900,temp,22.68
14900,light,96
15000,temp,22.6
15000,light,123
15100,temp,22.35
15100,light,106
15200,temp,22.73
15200,light,108
15300,temp,22.87
15300,light,103
15400,temp,22.87
15400,light,106
15500,temp,22.58
15500,light,121
15600,temp,22.87
15600,light,109
15700,temp,22.88
15700,light,113
15800,temp,22.98
15800,light,115
15900,temp,22.69
15900,light,119
16000,temp,22.71
16000,light,118
16100,temp,22.96
16100,light,120
16200,temp,22.88
16200,light,123
16300,temp,22.67
16300,light,108
16400,temp,22.77
16400,light,120
16500,temp,22.71
16500,light,101
16600,temp,22.61
16600,light,115
16700,temp,22.7
16700,light,118
16800,temp,22.69
16800,light,124
16900,temp,22.63
16900,light,123
17000,temp,22.55
17000,light,115
17100,temp,22.87
17100,light,110
17200,temp,22.68
17200,light,116
17300,temp,22.93
17300,light,112
17400,temp,22.64
17400,light,104
17500,temp,22.74
17500,light,111
17600,temp,22.78
17600,light,115
17700,temp,22.79
17700,light,136
17800,temp,22.71
17800,light,116
17900,temp,22.67
17900,light,119
18000,temp,22.77
18000,light,120
18100,temp,22.86
18100,light,121
18200,temp,22.93
18200,light,99
18300,temp,22.77
18300,light,121
18400,temp,22.83
18400,light,108
18500,temp,22.79
18500,light,117
18600,temp,22.9
18600,light,112
18700,temp,22.8
18700,light,120
18800,temp,23.04
18800,light,118
18900,temp,22.59
18900,light,119
19000,temp,22.87
19000,light,106
19100,temp,22.68
19100,light,121
19200,temp,22.93
19200,light,111
19300,temp,22.9
19300,light,115
19400,temp,22.96
19400,light,108
19500,temp,22.94
19500,light,104
19600,temp,22.73
19600,light,118
19700,temp,23.12
19700,light,128
19800,temp,22.89
19800,light,118
19900,temp,22.97
19900,light,123
20000,temp,22.89
20000,light,124
20100,temp,22.72
20100,light,126
20200,temp,23.06
20200,light,126
20300,temp,22.93
20300,light,110
20400,temp,22.99
20400,light,115
20500,temp,23.19
20500,light,125
20600,temp,22.91
20600,light,119
20700,temp,22.97
20700,light,122
20800,temp,23.14
20800,light,124
20900,temp,23.03
20900,light,135
21000,temp,23.02
21000,light,131
21100,temp,22.72
21100,light,120
21200,temp,22.97
21200,light,127
21300,temp,22.83
21300,light,122
21400,temp,22.97
21400,light,101
21500,temp,22.96
21500,light,125
21600,temp,22.82
21600,light,125
21700,temp,23.21
21700,light,114
21800,temp,22.98
21800,light,120
21900,temp,22.99
21900,light,115
22000,temp,22.88
22000,light,126
22100,temp,23.17
22100,light,120
22200,temp,22.88
22200,light,125
22300,temp,22.94
22300,light,125
22400,temp,23.04
22400,light,131
22500,temp,23.3
22500,light,130
22600,temp,22.9
22600,light,142
22700,temp,23.09
22700,light,112
22800,temp,22.96
22800,light,113
22900,temp,23.12
22900,light,124
23000,temp,23.02
23000,light,119
23100,temp,23.26
23100,light,134
23200,temp,22.99
23200,light,107
23300,temp,23
23300,light,138
23400,temp,23.13
23400,light,136
23500,temp,23.15
23500,light,104
23600,temp,23.1
23600,light,123
23700,temp,23.02
23700,light,132
23800,temp,22.89
23800,light,127
23900,temp,23.46
23900,light,120
24000,temp,23.27
24000,light,129
24100,temp,23.19
24100,light,129
24200,temp,23.12
24200,light,126
24300,temp,22.98
24300,light,116
24400,temp,23.17
24400,light,142
24500,temp,23.23
24500,light,130
24600,temp,23.15
24600,light,130
24700,temp,22.82
24700,light,136
24800,temp,23.22
24800,light,128
24900,temp,23.18
24900,light,135
25000,temp,23.06
25000,light,127
25100,temp,23.11
25100,light,114
25200,temp,23.27
25200,light,121
25300,temp,23.04
25300,light,126
25400,temp,23.22
25400,light,144
25500,temp,23.29
25500,light,134
25600,temp,23.02
25600,light,117
25700,temp,23.27
25700,light,142
25800,temp,23.36
25800,light,142
25900,temp,23.04
25900,light,126
26000,temp,23.42
26000,light,129
26100,temp,23.26
26100,light,119
26200,temp,23.19
26200,light,120
26300,temp,23.11
26300,light,127
26400,temp,23.08
26400,light,134
26500,temp,23.2
26500,light,141
26600,temp,23.06
26600,light,138
26700,temp,23.38
26700,light,136
26800,temp,23.38
26800,light,141
26900,temp,23.35
26900,light,132
27000,temp,23.38
27000,light,127
27100,temp,23.21
27100,light,142
27200,temp,23.21
27200,light,125
27300,temp,23.47
27300,light,132
27400,temp,23.24
27400,light,138
27500,temp,23.31
27500,light,142
27600,temp,23.46
27600,light,148
27700,temp,23.13
27700,light,131
27800,temp,23.17
27800,light,131
27900,temp,23.22
27900,light,134
28000,temp,23.17
28000,light,136
28100,temp,23.33
28100,light,141
28200,temp,23.2
28200,light,128
28300,temp,23.01
28300,light,140
28400,temp,23.34
28400,light,127
28500,temp,23.66
28500,light,142
28600,temp,23.41
28600,light,144
28700,temp,23.3
28700,light,134
28800,temp,23.53
28800,light,148
28900,temp,23.12
28900,light,128
29000,temp,23.18
29000,light,149
29100,temp,23.38
29100,light,154
29200,temp,23.38
29200,light,138
29300,temp,23.54
29300,light,159
29400,temp,23.72
29400,light,144
29500,temp,23.61
29500,light,140
29600,temp,23.59
29600,light,147
29700,temp,23.37
29700,light,145
29800,temp,23.38
29800,light,144
29900,temp,23.32
29900,light,145
30000,temp,23.33
30000,light,152
30100,temp,23.27
30100,light,135
30200,temp,23.34
30200,light,140
30300,temp,23.42
30300,light,148
30400,temp,23.63
30400,light,130
30500,temp,23.15
30500,light,147
30600,temp,23.23
30600,light,132
30700,temp,23.59
30700,light,128
30800,temp,23.3
30800,light,139
30900,temp,23.43
30900,light,150
31000,temp,23.7
31000,light,146
31100,temp,23.44
31100,light,127
31200,temp,23.3
31200,light,138
31300,temp,23.47
31300,light,155
31400,temp,23.3
31400,light,143
31500,temp,23.72
31500,light,148
31600,temp,23.53
31600,light,152
31700,temp,23.43
31700,light,137
31800,temp,23.27
31800,light,129
31900,temp,23.33
31900,light,155
32000,temp,23.54
32000,light,137
32100,temp,23.43
32100,light,131
32200,temp,23.43
32200,light,146
32300,temp,23.56
32300,light,149
32400,temp,23.42
32400,light,136
32500,temp,23.8
32500,light,136
32600,temp,23.33
32600,light,154
32700,temp,23.56
32700,light,143
32800,temp,23.32
32800,light,146
32900,temp,23.32
32900,light,140
33000,temp,23.63
33000,light,142
33100,temp,23.41
33100,light,146
33200,temp,23.69
33200,light,152
33300,temp,23.68
33300,light,139
33400,temp,23.49
33400,light,150
33500,temp,23.64
33500,light,158
33600,temp,23.48
33600,light,145
33700,temp,23.47
33700,light,148
33800,temp,23.87
33800,light,152
33900,temp,23.88
33900,light,168
34000,temp,23.7
34000,light,151
34100,temp,23.42
34100,light,153
34200,temp,23.58
34200,light,152
34300,temp,23.79
34300,light,147
34400,temp,23.52
34400,light,139
34500,temp,23.52
34500,light,140
34600,temp,23.57
34600,light,142
34700,temp,23.46
34700,light,140
34800,temp,23.66
34800,light,146
34900,temp,23.68
34900,light,152
35000,temp,23.59
35000,light,128
35100,temp,23.58
35100,light,155
35200,temp,23.75
35200,light,137
35300,temp,23.62
35300,light,149
35400,temp,23.6
35400,light,128
35500,temp,23.7
35500,light,150
35600,temp,23.54
35600,light,144
35700,temp,23.7
35700,light,147
35800,temp,23.93
35800,light,138
35900,temp,23.58
35900,light,154
36000,temp,23.46
36000,light,153
36100,temp,23.71
36100,light,150
36200,temp,23.35
36200,light,155
36300,temp,23.66
36300,light,146
36400,temp,23.72
36400,light,149
36500,temp,23.96
36500,light,163
36600,temp,23.79
36600,light,150
36700,temp,23.69
36700,light,151
36800,temp,23.69
36800,light,151
36900,temp,23.85
36900,light,154
37000,temp,23.67
37000,light,161
37100,temp,23.84
37100,light,163
37200,temp,23.74
37200,light,153
37300,temp,23.96
37300,light,153
37400,temp,23.71
37400,light,153
37500,temp,23.68
37500,light,159
37600,temp,23.98
37600,light,180
37700,temp,23.78
37700,light,161
37800,temp,23.8
37800,light,162
37900,temp,23.96
37900,light,156
38000,temp,23.87
38000,light,149
38100,temp,24.14
38100,light,144
38200,temp,23.82
38200,light,145
38300,temp,23.68
38300,light,139
38400,temp,23.73
38400,light,151
38500,temp,23.47
38500,light,158
38600,temp,23.7
38600,light,157
38700,temp,23.89
38700,light,151
38800,temp,23.44
38800,light,164
38900,temp,23.67
38900,light,161
39000,temp,23.69
39000,light,161
39100,temp,23.78
39100,light,155
39200,temp,23.58
39200,light,160
39300,temp,23.91
39300,light,163
39400,temp,23.87
39400,light,163
39500,temp,23.58
39500,light,160
39600,temp,23.94
39600,light,144
39700,temp,23.76
39700,light,161
39800,temp,23.85
39800,light,164
39900,temp,23.8
39900,light,157
40000,temp,23.66
40000,light,157
40100,temp,23.73
40100,light,147
40200,temp,23.92
40200,light,155
40300,temp,23.79
40300,light,165
40400,temp,23.45
40400,light,161
40500,temp,23.89
40500,light,175
40600,temp,23.67
40600,light,178
40700,temp,24.27
40700,light,171
40800,temp,23.86
40800,light,176
40900,temp,23.83
40900,light,165
41000,temp,24.24
41000,light,165
41100,temp,23.89
41100,light,169
41200,temp,24.01
41200,light,176
41300,temp,23.78
41300,light,154
41400,temp,23.99
41400,light,160
41500,temp,24.18
41500,light,160
41600,temp,23.88
41600,light,157
41700,temp,24.05
41700,light,151
41800,temp,24.14
41800,light,161
41900,temp,23.65
41900,light,175
42000,temp,23.99
42000,light,149
42100,temp,24.05
42100,light,172
42200,temp,23.77
42200,light,164
42300,temp,24.26
42300,light,158
42400,temp,24.1
42400,light,158
42500,temp,24.11
42500,light,163
42600,temp,23.91
42600,light,162
42700,temp,24.02
42700,light,163
42800,temp,23.59
42800,light,160
42900,temp,23.95
42900,light,164
43000,temp,23.8
43000,light,159
43100,temp,24.25
43100,light,169
43200,temp,23.85
43200,light,164
43300,temp,24.06
43300,light,168
43400,temp,24.02
43400,light,171
43500,temp,24.23
43500,light,180
43600,temp,24.04
43600,light,165
43700,temp,24.2
43700,light,174
43800,temp,23.67
43800,light,173
43900,temp,24.03
43900,light,156
44000,temp,24.43
44000,light,158
44100,temp,24.16
44100,light,178
44200,temp,24.09
44200,light,162
44300,temp,23.93
44300,light,170
44400,temp,24.32
44400,light,174
44500,temp,24.22
44500,light,170
44600,temp,24.31
44600,light,178
44700,temp,23.94
44700,light,170
44800,temp,24.06
44800,light,158
44900,temp,24.14
44900,light,167
45000,temp,24.21
45000,light,173
45100,temp,23.91
45100,light,161
45200,temp,24.16
45200,light,173
45300,temp,24.09
45300,light,154
45400,temp,23.97
45400,light,166
45500,temp,23.95
45500,light,164
45600,temp,23.96
45600,light,180
45700,temp,24.11
