timestamp_ms,sensor,value
0,temp,21.6
0,light,147
0,sound,45
100,temp,21.61
100,light,143
100,sound,41
200,temp,21.67
200,light,144
200,sound,40
300,temp,21.82
300,light,145
300,sound,41
400,temp,21.71
400,light,146
400,sound,43
500,temp,21.74
500,light,146
500,sound,41
600,temp,21.7
600,light,145
600,sound,42
700,temp,21.56
700,light,146
700,sound,44
800,temp,21.66
800,light,147
800,sound,43
900,temp,21.78
900,light,152
900,sound,41
1000,temp,21.84
1000,light,145
1000,sound,42
1100,temp,21.66
1100,light,144
1100,sound,41
1200,temp,21.66
1200,light,147
1200,sound,44
1300,temp,21.67
1300,light,150
1300,sound,42
1400,temp,21.43
1400,light,144
1400,sound,41
1500,temp,21.68
1500,light,145
1500,sound,40
1600,temp,21.62
1600,light,139
1600,sound,41
1700,temp,21.62
1700,light,144
1700,sound,43
1800,temp,21.56
1800,light,141
1800,sound,42
1900,temp,21.71
1900,light,143
1900,sound,42
2000,temp,21.79
2000,light,147
2000,sound,44
2100,temp,21.82
2100,light,146
2100,sound,42
2200,temp,21.73
2200,light,142
2200,sound,43
2300,temp,21.66
2300,light,144
2300,sound,42
2400,temp,21.86
2400,light,142
2400,sound,43
2500,temp,21.63
2500,light,149
2500,sound,41
2600,temp,21.61
2600,light,147
2600,sound,45
2700,temp,21.77
2700,light,148
2700,sound,43
2800,temp,21.65
2800,light,147
2800,sound,41
2900,temp,21.62
2900,light,146
2900,sound,43
3000,temp,21.7
3000,light,146
3000,sound,41
3100,temp,21.72
3100,light,143
3100,sound,43
3200,temp,21.64
3200,light,148
3200,sound,42
3300,temp,21.68
3300,light,145
3300,sound,44
3400,temp,21.7
3400,light,143
3400,sound,43
3500,temp,21.72
3500,light,148
3500,sound,43
3600,temp,21.76
3600,light,143
3600,sound,41
3700,temp,21.67
3700,light,142
3700,sound,45
3800,temp,21.69
3800,light,147
3800,sound,42
3900,temp,21.73
3900,light,144
3900,sound,41
4000,temp,21.66
4000,light,143
4000,sound,41
4100,temp,21.8
4100,light,147
4100,sound,44
4200,temp,21.72
4200,light,146
4200,sound,41
4300,temp,21.64
4300,light,145
4300,sound,41
4400,temp,21.86
4400,light,147
4400,sound,41
4500,temp,21.79
4500,light,150
4500,sound,44
4600,temp,21.61
4600,light,148
4600,sound,41
4700,temp,21.8
4700,light,147
4700,sound,42
4800,temp,21.8
4800,light,146
4800,sound,41
4900,temp,21.72
4900,light,148
4900,sound,42
5000,temp,21.62
5000,light,150
5000,sound,40
5100,temp,21.67
5100,light,149
5100,sound,41
5200,temp,21.66
5200,light,146
5200,sound,42
5300,temp,21.77
5300,light,148
5300,sound,42
5400,temp,21.69
5400,light,146
5400,sound,41
5500,temp,21.75
5500,light,143
5500,sound,43
5600,temp,21.76
5600,light,145
5600,sound,41
5700,temp,21.62
5700,light,144
5700,sound,41
5800,temp,21.68
5800,light,148
5800,sound,43
5900,temp,21.69
5900,light,146
5900,sound,44
6000,temp,21.62
6000,light,146
6000,sound,42
6100,temp,21.77
6100,light,150
6100,sound,42
6200,temp,21.7
6200,light,145
6200,sound,42
6300,temp,21.78
6300,light,145
6300,sound,45
6400,temp,21.66
6400,light,145
6400,sound,41
6500,temp,21.71
6500,light,140
6500,sound,42
6600,temp,21.65
6600,light,144
6600,sound,42
6700,temp,21.69
6700,light,147
6700,sound,43
6800,temp,21.6
6800,light,143
6800,sound,43
