timestamp_ms,sensor,value
0,compass,4.8
200,compass,5.6
400,compass,7.3
600,compass,7.1
800,compass,7.5
1000,compass,7.1
1200,compass,7.2
1400,compass,8.2
1600,compass,8.3
1800,compass,10.1
2000,compass,10.7
2200,compass,10.3
2400,compass,9
2600,compass,9.6
2800,compass,10
3000,compass,9.1
3200,compass,9.3
3400,compass,10.5
3600,compass,10.9
3800,compass,10.1
4000,compass,10.8
4200,compass,12.1
4400,compass,11.1
4600,compass,9.7
4800,compass,10.1
5000,compass,9.9
5200,compass,10.7
5400,compass,9.3
5600,compass,10.4
5800,compass,9.5
6000,compass,11.5
6200,compass,14.3
6400,compass,12.8
6600,compass,10.1
6800,compass,10
7000,compass,8.9
7200,compass,10.9
7400,compass,10.3
7600,compass,9.4
7800,compass,9.1
8000,compass,9.9
8200,compass,9.1
8400,compass,8.7
8600,compass,8.4
8800,compass,7.4
9000,compass,6.5
9200,compass,7.9
9400,compass,8.6
9600,compass,8.5
9800,compass,8.6
10000,compass,10.5
10200,compass,9.6
10400,compass,7.4
10600,compass,7.9
10800,compass,6.9
11000,compass,5.8
11200,compass,4.4
11400,compass,6.3
11600,compass,6.9
11800,compass,5.1
12000,compass,4.7
12200,compass,7
12400,compass,5.4
12600,compass,6.2
12800,compass,6.9
13000,compass,6.2
13200,compass,5
13400,compass,4.8
13600,compass,6.2
13800,compass,8.3
14000,compass,7.7
14200,compass,9.9
14400,compass,10.2
14600,compass,11.6
14800,compass,13.4
15000,compass,13.9
15200,compass,12.8
15400,compass,12.6
15600,compass,12.7
15800,compass,11.6
16000,compass,14.1
16200,compass,15.7
16400,compass,16.9
16600,compass,17.2
16800,compass,16.5
17000,compass,17.1
17200,compass,17.9
17400,compass,20.2
17600,compass,20.1
17800,compass,19.9
18000,compass,20.2
18200,compass,19.1
18400,compass,19.8
18600,compass,19
18800,compass,18.9
19000,compass,18.4
19200,compass,18.1
19400,compass,16.6
19600,compass,16.7
19800,compass,17.1
20000,compass,17.1
20200,compass,15.8
20400,compass,14.1
20600,compass,13.1
20800,compass,12.3
21000,compass,11.3
21200,compass,10.7
21400,compass,12.5
21600,compass,12.1
21800,compass,12
22000,compass,11.8
22200,compass,11.8
22400,compass,11.7
22600,compass,11.5
22800,compass,11.2
23000,compass,10.2
23200,compass,11
23400,compass,11.1
23600,compass,10.8
23800,compass,11.9
24000,compass,12.4
24200,compass,12.6
24400,compass,15.5
24600,compass,14.6
24800,compass,15.2
25000,compass,15.5
25200,compass,15.2
25400,compass,16.1
25600,compass,18.6
25800,compass,18.9
26000,compass,20
26200,compass,21.2
26400,compass,21.4
26600,compass,23.2
26800,compass,23.6
27000,compass,24.3
27200,compass,23.8
27400,compass,23.9
27600,compass,25
27800,compass,23.4
28000,compass,25.9
28200,compass,24.5
28400,compass,23.7
28600,compass,24.1
28800,compass,23.1
29000,compass,24.4
29200,compass,23.5
29400,compass,26.4
29600,compass,27.4
29800,compass,25.2
30000,compass,24.8
30200,compass,25.7
30400,compass,24.5
30600,compass,24.4
30800,compass,24.3
31000,compass,23.7
31200,compass,26.4
31400,compass,26.3
31600,compass,27.3
31800,compass,26.2
32000,compass,26.6
32200,compass,25.8
32400,compass,24.9
32600,compass,26.1
32800,compass,28.4
33000,compass,28.9
33200,compass,27.9
33400,compass,27.3
33600,compass,25.8
33800,compass,25.9
34000,compass,24.7
34200,compass,24.4
34400,compass,25.8
34600,compass,26.4
34800,compass,27.4
35000,compass,27
35200,compass,24.7
35400,compass,22.9
35600,compass,20.9
35800,compass,22.3
36000,compass,20
36200,compass,18
36400,compass,17.7
36600,compass,18.4
36800,compass,17.4
37000,compass,17.2
37200,compass,17.1
37400,compass,16.2
37600,compass,17.3
37800,compass,19.2
38000,compass,18.7
38200,compass,18.5
38400,compass,18
38600,compass,18.6
38800,compass,18.8
39000,compass,17.8
39200,compass,17.4
39400,compass,16.8
39600,compass,16.4
39800,compass,15.8
40000,compass,14.7
40200,compass,14.3
40400,compass,14
40600,compass,13.7
40800,compass,13.2
41000,compass,14.2
41200,compass,16
41400,compass,15.6
41600,compass,17.4
41800,compass,15.2
42000,compass,16.1
42200,compass,14
42400,compass,13
42600,compass,11.2
42800,compass,10.3
43000,compass,10.9
43200,compass,10.1
43400,compass,8.8
43600,compass,9
43800,compass,10.9
44000,compass,13.6
44200,compass,14.3
44400,compass,15.4
44600,compass,16.5
44800,compass,17.1
45000,compass,18.2
45200,compass,18.7
45400,compass,19.4
45600,compass,20.7
45800,compass,21.1
46000,compass,22.1
46200,compass,23.3
46400,compass,21.7
46600,compass,23.3
46800,compass,23.5
47000,compass,20.8
47200,compass,22.6
47400,compass,21.3
47600,compass,20.3
47800,compass,19.8
48000,compass,18.2
48200,compass,20.1
48400,compass,20.1
48600,compass,19.9
48800,compass,17.9
49000,compass,16.2
49200,compass,16.1
49400,compass,16.1
49600,compass,15.8
49800,compass,16.7
50000,compass,16
50200,compass,15
50400,compass,12.9
50600,compass,14.9
