timestamp_ms,sensor,value
0,accel_x,4
0,accel_y,30
0,accel_z,1024
20,accel_x,13
20,accel_y,-22
20,accel_z,1024
40,accel_x,-44
40,accel_y,16
40,accel_z,952
60,accel_x,-73
60,accel_y,-44
60,accel_z,994
80,accel_x,-8
80,accel_y,-2
80,accel_z,979
100,accel_x,15
100,accel_y,-21
100,accel_z,995
120,accel_x,80
120,accel_y,-6
120,accel_z,976
140,accel_x,11
140,accel_y,-36
140,accel_z,950
160,accel_x,-32
160,accel_y,54
160,accel_z,949
180,accel_x,-38
180,accel_y,43
180,accel_z,1000
200,accel_x,-3
200,accel_y,-24
200,accel_z,1002
220,accel_x,69
220,accel_y,-2
220,accel_z,1040
240,accel_x,1
240,accel_y,49
240,accel_z,1004
260,accel_x,7
260,accel_y,28
260,accel_z,984
280,accel_x,38
280,accel_y,47
280,accel_z,997
300,accel_x,21
300,accel_y,-30
300,accel_z,937
320,accel_x,11
320,accel_y,15
320,accel_z,1031
340,accel_x,33
340,accel_y,21
340,accel_z,1027
360,accel_x,-38
360,accel_y,-2
360,accel_z,966
380,accel_x,-19
380,accel_y,20
380,accel_z,1020
400,accel_x,34
400,accel_y,26
400,accel_z,982
420,accel_x,-17
420,accel_y,10
420,accel_z,1002
440,accel_x,29
440,accel_y,-37
440,accel_z,973
460,accel_x,-45
460,accel_y,-2
460,accel_z,1046
480,accel_x,-7
480,accel_y,52
480,accel_z,983
500,accel_x,-46
500,accel_y,8
500,accel_z,977
520,accel_x,50
520,accel_y,-8
520,accel_z,1028
540,accel_x,12
540,accel_y,-37
540,accel_z,966
560,accel_x,-3
560,accel_y,-18
560,accel_z,1021
580,accel_x,6
580,accel_y,-36
580,accel_z,1019
600,accel_x,-84
600,accel_y,-31
600,accel_z,999
620,accel_x,-21
620,accel_y,-17
620,accel_z,989
640,accel_x,29
640,accel_y,60
640,accel_z,965
660,accel_x,0
660,accel_y,29
660,accel_z,984
680,accel_x,19
680,accel_y,41
680,accel_z,985
700,accel_x,-20
700,accel_y,-50
700,accel_z,985
720,accel_x,-21
720,accel_y,68
720,accel_z,989
740,accel_x,59
740,accel_y,91
740,accel_z,997
760,accel_x,45
760,accel_y,-56
760,accel_z,1049
780,accel_x,-14
780,accel_y,12
780,accel_z,1007
800,accel_x,48
800,accel_y,36
800,accel_z,979
820,accel_x,43
820,accel_y,33
820,accel_z,993
840,accel_x,39
840,accel_y,70
840,accel_z,951
860,accel_x,10
860,accel_y,39
860,accel_z,974
880,accel_x,7
880,accel_y,-48
880,accel_z,946
900,accel_x,-23
900,accel_y,28
900,accel_z,967
920,accel_x,-18
920,accel_y,5
920,accel_z,940
940,accel_x,-16
940,accel_y,-67
940,accel_z,1002
960,accel_x,-30
960,accel_y,38
960,accel_z,1017
980,accel_x,-41
980,accel_y,86
980,accel_z,961
1000,accel_x,86
1000,accel_y,-61
1000,accel_z,985
1020,accel_x,45
1020,accel_y,11
1020,accel_z,968
1040,accel_x,-12
1040,accel_y,-2
1040,accel_z,1015
1060,accel_x,-20
1060,accel_y,11
1060,accel_z,1045
1080,accel_x,-54
1080,accel_y,26
1080,accel_z,976
1100,accel_x,0
1100,accel_y,-4
1100,accel_z,998
1120,accel_x,-58
1120,accel_y,-5
1120,accel_z,1019
1140,accel_x,-1
1140,accel_y,-36
1140,accel_z,1042
1160,accel_x,33
1160,accel_y,114
1160,accel_z,1004
1180,accel_x,-61
1180,accel_y,46
1180,accel_z,998
1200,accel_x,-27
1200,accel_y,-26
1200,accel_z,999
1220,accel_x,7
1220,accel_y,-28
1220,accel_z,1045
1240,accel_x,42
1240,accel_y,5
1240,accel_z,1034
1260,accel_x,28
1260,accel_y,-31
1260,accel_z,1010
1280,accel_x,-16
1280,accel_y,-24
1280,accel_z,970
1300,accel_x,-20
1300,accel_y,7
1300,accel_z,982
1320,accel_x,96
1320,accel_y,-26
1320,accel_z,992
1340,accel_x,-116
1340,accel_y,28
1340,accel_z,1037
1360,accel_x,-38
1360,accel_y,-1
1360,accel_z,1050
1380,accel_x,61
1380,accel_y,-19
1380,accel_z,1015
1400,accel_x,-24
1400,accel_y,9
1400,accel_z,982
1420,accel_x,5
1420,accel_y,8
1420,accel_z,1031
1440,accel_x,-71
1440,accel_y,67
1440,accel_z,1017
1460,accel_x,5
1460,accel_y,6
1460,accel_z,1034
1480,accel_x,-22
1480,accel_y,41
1480,accel_z,969
1500,accel_x,19
1500,accel_y,-30
1500,accel_z,985
1520,accel_x,-16
1520,accel_y,46
1520,accel_z,1003
1540,accel_x,-71
1540,accel_y,6
1540,accel_z,1011
1560,accel_x,-19
1560,accel_y,-15
1560,accel_z,1034
1580,accel_x,13
1580,accel_y,41
1580,accel_z,964
1600,accel_x,-23
1600,accel_y,-15
1600,accel_z,1045
1620,accel_x,31
1620,accel_y,-9
1620,accel_z,985
1640,accel_x,1
1640,accel_y,-33
1640,accel_z,1019
1660,accel_x,-29
1660,accel_y,37
1660,accel_z,1027
1680,accel_x,-32
1680,accel_y,-4
1680,accel_z,967
1700,accel_x,68
1700,accel_y,-16
1700,accel_z,968
1720,accel_x,-65
1720,accel_y,54
1720,accel_z,1038
1740,accel_x,51
