timestamp_ms,sensor,value
0,temp,13.93
0,light,33
100,temp,14.03
100,light,27
200,temp,13.98
200,light,30
300,temp,13.93
300,light,25
400,temp,13.92
400,light,33
500,temp,13.95
500,light,30
600,temp,14.03
600,light,26
700,temp,14.14
700,light,34
800,temp,14.04
800,light,30
900,temp,13.98
900,light,31
1000,temp,14.28
1000,light,27
1100,temp,14.02
1100,light,37
1200,temp,14.25
1200,light,39
1300,temp,14.01
1300,light,29
1400,temp,14.14
1400,light,29
1500,temp,14.12
1500,light,39
1600,temp,14.16
1600,light,27
1700,temp,14.17
1700,light,38
1800,temp,14.09
1800,light,33
1900,temp,13.91
1900,light,26
2000,temp,14.12
2000,light,32
2100,temp,14.16
2100,light,39
2200,temp,14.09
2200,light,32
2300,temp,14.04
2300,light,34
2400,temp,14
2400,light,35
2500,temp,14.13
2500,light,31
2600,temp,14.08
2600,light,35
2700,temp,14.13
2700,light,37
2800,temp,14.29
2800,light,36
2900,temp,14.15
2900,light,35
3000,temp,14.04
3000,light,39
3100,temp,14.14
3100,light,34
3200,temp,14.04
3200,light,31
3300,temp,14.24
3300,light,30
3400,temp,14.37
3400,light,30
3500,temp,14.24
3500,light,38
3600,temp,14.01
3600,light,25
3700,temp,14.12
3700,light,39
3800,temp,14.19
3800,light,34
3900,temp,14.14
3900,light,36
4000,temp,14.25
4000,light,33
4100,temp,14.06
4100,light,32
4200,temp,14.07
4200,light,42
4300,temp,14.25
4300,light,33
4400,temp,14.29
4400,light,38
4500,temp,14.05
4500,light,34
4600,temp,14.17
4600,light,34
4700,temp,14.21
4700,light,34
4800,temp,14.06
4800,light,40
4900,temp,14.18
4900,light,29
5000,temp,14.17
5000,light,35
5100,temp,13.97
5100,light,39
5200,temp,14.22
5200,light,32
5300,temp,14.18
5300,light,42
5400,temp,14.31
5400,light,31
5500,temp,14.37
5500,light,37
5600,temp,14.42
5600,light,38
5700,temp,14.23
5700,light,37
5800,temp,14.28
5800,light,30
5900,temp,14.18
5900,light,40
6000,temp,14.23
6000,light,30
6100,temp,14.42
6100,light,41
6200,temp,14.34
6200,light,35
6300,temp,14.23
6300,light,38
