timestamp_ms,sensor,value
0,accel_x,-62
0,accel_y,605
0,accel_z,1185
40,accel_x,69
40,accel_y,381
40,accel_z,1134
80,accel_x,145
80,accel_y,261
80,accel_z,972
120,accel_x,216
120,accel_y,410
120,accel_z,949
160,accel_x,197
160,accel_y,567
160,accel_z,1064
200,accel_x,310
200,accel_y,396
200,accel_z,1063
240,accel_x,354
240,accel_y,351
240,accel_z,1054
280,accel_x,481
280,accel_y,419
280,accel_z,1091
320,accel_x,474
320,accel_y,421
320,accel_z,1002
360,accel_x,561
360,accel_y,432
360,accel_z,1158
400,accel_x,523
400,accel_y,411
400,accel_z,1092
440,accel_x,572
440,accel_y,310
440,accel_z,986
480,accel_x,573
480,accel_y,307
480,accel_z,1013
520,accel_x,478
520,accel_y,277
520,accel_z,1097
560,accel_x,607
560,accel_y,155
560,accel_z,1059
600,accel_x,486
600,accel_y,330
600,accel_z,1073
640,accel_x,549
640,accel_y,190
640,accel_z,1104
680,accel_x,618
680,accel_y,118
680,accel_z,1032
720,accel_x,737
720,accel_y,151
720,accel_z,1022
760,accel_x,740
760,accel_y,84
760,accel_z,1155
800,accel_x,554
800,accel_y,61
800,accel_z,1118
840,accel_x,589
840,accel_y,101
840,accel_z,1134
880,accel_x,556
880,accel_y,26
880,accel_z,1131
920,accel_x,602
920,accel_y,-22
920,accel_z,1195
960,accel_x,439
960,accel_y,5
960,accel_z,1115
1000,accel_x,593
1000,accel_y,-78
1000,accel_z,1119
1040,accel_x,466
1040,accel_y,-54
1040,accel_z,1162
1080,accel_x,249
1080,accel_y,-139
1080,accel_z,1071
1120,accel_x,285
1120,accel_y,-130
1120,accel_z,1111
1160,accel_x,238
1160,accel_y,-262
1160,accel_z,1142
1200,accel_x,256
1200,accel_y,-270
1200,accel_z,1171
1240,accel_x,117
1240,accel_y,-261
1240,accel_z,1153
1280,accel_x,143
1280,accel_y,-291
1280,accel_z,1133
1320,accel_x,99
1320,accel_y,-243
1320,accel_z,1171
1360,accel_x,10
1360,accel_y,-152
1360,accel_z,1118
1400,accel_x,57
1400,accel_y,-76
1400,accel_z,1042
1440,accel_x,5
1440,accel_y,-316
1440,accel_z,1049
1480,accel_x,-140
1480,accel_y,-417
1480,accel_z,1146
1520,accel_x,-139
1520,accel_y,-197
1520,accel_z,1204
1560,accel_x,-380
1560,accel_y,-219
1560,accel_z,1202
1600,accel_x,-334
1600,accel_y,-318
1600,accel_z,1179
1640,accel_x,-538
1640,accel_y,-486
1640,accel_z,1209
1680,accel_x,-430
1680,accel_y,-528
1680,accel_z,1142
1720,accel_x,-418
1720,accel_y,-394
1720,accel_z,1194
1760,accel_x,-592
1760,accel_y,-450
1760,accel_z,1168
1800,accel_x,-498
1800,accel_y,-384
1800,accel_z,1190
1840,accel_x,-513
1840,accel_y,-433
1840,accel_z,1207
1880,accel_x,-544
1880,accel_y,-540
1880,accel_z,1024
1920,accel_x,-632
1920,accel_y,-278
1920,accel_z,1233
1960,accel_x,-548
1960,accel_y,-559
1960,accel_z,1172
2000,accel_x,-538
2000,accel_y,-528
2000,accel_z,1077
2040,accel_x,-660
2040,accel_y,-456
2040,accel_z,1093
2080,accel_x,-642
2080,accel_y,-514
2080,accel_z,1110
2120,accel_x,-564
2120,accel_y,-404
2120,accel_z,1200
2160,accel_x,-658
2160,accel_y,-464
2160,accel_z,1159
2200,accel_x,-482
2200,accel_y,-277
2200,accel_z,1144
2240,accel_x,-499
2240,accel_y,-356
2240,accel_z,1178
2280,accel_x,-583
2280,accel_y,-348
2280,accel_z,1152
2320,accel_x,-399
2320,accel_y,-232
2320,accel_z,1171
2360,accel_x,-590
2360,accel_y,-221
2360,accel_z,1077
2400,accel_x,-387
2400,accel_y,-255
2400,accel_z,1109
2440,accel_x,-336
2440,accel_y,-364
2440,accel_z,1147
2480,accel_x,-373
2480,accel_y,-216
2480,accel_z,1170
2520,accel_x,-291
2520,accel_y,-194
2520,accel_z,1149
2560,accel_x,-147
2560,accel_y,-137
2560,accel_z,1153
2600,accel_x,-203
2600,accel_y,-107
2600,accel_z,1213
2640,accel_x,-89
2640,accel_y,-227
2640,accel_z,1043
2680,accel_x,-58
2680,accel_y,-146
2680,accel_z,1148
2720,accel_x,55
2720,accel_y,-119
2720,accel_z,1067
2760,accel_x,44
2760,accel_y,-95
2760,accel_z,1131
2800,accel_x,70
2800,accel_y,-65
2800,accel_z,1045
2840,accel_x,142
2840,accel_y,138
2840,accel_z,1031
2880,accel_x,200
2880,accel_y,162
2880,accel_z,1229
2920,accel_x,98
2920,accel_y,65
2920,accel_z,1123
2960,accel_x,393
2960,accel_y,180
2960,accel_z,1090
3000,accel_x,386
3000,accel_y,98
3000,accel_z,1123
3040,accel_x,431
3040,accel_y,270
3040,accel_z,1125
3080,accel_x,472
3080,accel_y,61
3080,accel_z,1028
3120,accel_x,530
3120,accel_y,320
3120,accel_z,945
3160,accel_x,467
3160,accel_y,228
3160,accel_z,1042
3200,accel_x,608
3200,accel_y,324
3200,accel_z,961
3240,accel_x,493
3240,accel_y,360
3240,accel_z,1084
3280,accel_x,683
3280,accel_y,319
3280,accel_z,1087
3320,accel_x,681
3320,accel_y,210
3320,accel_z,1035
3360,accel_x,523
3360,accel_y,238
3360,accel_z,1045
3400,accel_x,593
3400,accel_y,291
3400,accel_z,1090
3440,accel_x,440
3440,accel_y,462
3440,accel_z,1076
3480,accel_x,608
3480,accel_y,402
3480,accel_z,963
3520,accel_x,469
3520,accel_y,365
3520,accel_z,1025
3560,accel_x,605
3560,accel_y,400
3560,accel_z,1054
3600,accel_x,607
3600,accel_y,384
3600,accel_z,1032
3640,accel_x,596
3640,accel_y,459
3640,accel_z,1006
3680,accel_x,488
3680,accel_y,398
3680,accel_z,1092
3720,accel_x,463
3720,accel_y,309
3720,accel_z,1169
3760,accel_x,497
3760,accel_y,476
3760,accel_z,933
3800,accel_x,225
3800,accel_y,316
3800,accel_z,956
3840,accel_x,268
3840,accel_y,531
3840,accel_z,1076
3880,accel_x,460
3880,accel_y,402
3880,accel_z,988
3920,accel_x,243
3920,accel_y,380
3920,accel_z,916
3960,accel_x,131
3960,accel_y,296
3960,accel_z,1046
4000,accel_x,205
4000,accel_y,442
4000,accel_z,893
4040,accel_x,47
4040,accel_y,364
4040,accel_z,1013
4080,accel_x,6
4080,accel_y,462
4080,accel_z,991
4120,accel_x,-125
4120,accel_y,312
4120,accel_z,1098
4160,accel_x,-62
4160,accel_y,230
4160,accel_z,1069
4200,accel_x,4
4200,accel_y,281
4200,accel_z,959
4240,accel_x,-185
4240,accel_y,437
4240,accel_z,999
4280,accel_x,-219
4280,accel_y,227
4280,accel_z,1045
4320,accel_x,-386
4320,accel_y,139
4320,accel_z,962
4360,accel_x,-306
4360,accel_y,151
4360,accel_z,988
4400,accel_x,-418
4400,accel_y,139
4400,accel_z,858
4440,accel_x,-422
4440,accel_y,132
4440,accel_z,947
4480,accel_x,-512
4480,accel_y,130
4480,accel_z,902
4520,accel_x,-571
4520,accel_y,25
4520,accel_z,968
4560,accel_x,-466
4560,accel_y,-65
4560,accel_z,874
4600,accel_x,-437
4600,accel_y,41
4600,accel_z,941
4640,accel_x,-612
4640,accel_y,189
4640,accel_z,990
4680,accel_x,-449
4680,accel_y,-40
4680,accel_z,927
4720,accel_x,-553
4720,accel_y,-194
4720,accel_z,905
4760,accel_x,-554
4760,accel_y,-130
4760,accel_z,851
4800,accel_x,-638
4800,accel_y,-231
4800,accel_z,937
4840,accel_x,-655
4840,accel_y,-103
4840,accel_z,943
4880,accel_x,-617
4880,accel_y,-12
4880,accel_z,943
4920,accel_x,-525
4920,accel_y,-179
4920,accel_z,914
4960,accel_x,-440
4960,accel_y,-402
4960,accel_z,899
5000,accel_x,-515
5000,accel_y,-437
5000,accel_z,900
5040,accel_x,-459
5040,accel_y,-363
5040,accel_z,887
5080,accel_x,-496
5080,accel_y,-261
5080,accel_z,837
5120,accel_x,-428
5120,accel_y,-267
5120,accel_z,848
5160,accel_x,-410
5160,accel_y,-422
5160,accel_z,849
5200,accel_x,-304
5200,accel_y,-214
5200,accel_z,818
5240,accel_x,-269
5240,accel_y,-244
5240,accel_z,841
5280,accel_x,-169
5280,accel_y,-504
5280,accel_z,887
5320,accel_x,-242
5320,accel_y,-489
5320,accel_z,802
5360,accel_x,-231
5360,accel_y,-377
5360,accel_z,796
5400,accel_x,-193
5400,accel_y,-446
5400,accel_z,818
5440,accel_x,75
5440,accel_y,-454
5440,accel_z,831
5480,accel_x,59
5480,accel_y,-440
5480,accel_z,844
5520,accel_x,0
5520,accel_y,-390
5520,accel_z,924
5560,accel_x,200
5560,accel_y,-463
5560,accel_z,885
5600,accel_x,198
5600,accel_y,-436
5600,accel_z,737
5640,accel_x,77
5640,accel_y,-555
5640,accel_z,810
5680,accel_x,193
5680,accel_y,-497
5680,accel_z,818
5720,accel_x,503
5720,accel_y,-397
5720,accel_z,968
5760,accel_x,292
5760,accel_y,-378
5760,accel_z,781
5800,accel_x,548
5800,accel_y,-423
5800,accel_z,859
5840,accel_x,417
5840,accel_y,-534
5840,accel_z,799
5880,accel_x,472
5880,accel_y,-401
5880,accel_z,957
5920,accel_x,468
5920,accel_y,-280
5920,accel_z,805
5960,accel_x,544
5960,accel_y,-345
5960,accel_z,811
6000,accel_x,608
6000,accel_y,-440
6000,accel_z,924
6040,accel_x,597
6040,accel_y,-221
6040,accel_z,759
6080,accel_x,626
6080,accel_y,-274
6080,accel_z,865
6120,accel_x,690
6120,accel_y,-224
6120,accel_z,924
6160,accel_x,609
6160,accel_y,-238
6160,accel_z,839
6200,accel_x,631
6200,accel_y,-259
6200,accel_z,816
6240,accel_x,522
6240,accel_y,-260
6240,accel_z,892
6280,accel_x,524
6280,accel_y,-221
6280,accel_z,887
6320,accel_x,413
6320,accel_y,-191
6320,accel_z,882
6360,accel_x,514
6360,accel_y,-66
6360,accel_z,762
6400,accel_x,452
6400,accel_y,-114
6400,accel_z,834
6440,accel_x,433
6440,accel_y,-161
6440,accel_z,804
6480,accel_x,424
6480,accel_y,26
6480,accel_z,901
6520,accel_x,445
6520,accel_y,-68
6520,accel_z,951
6560,accel_x,372
6560,accel_y,-19
6560,accel_z,981
6600,accel_x,196
6600,accel_y,160
6600,accel_z,890
6640,accel_x,234
6640,accel_y,-56
6640,accel_z,881
6680,accel_x,66
6680,accel_y,134
6680,accel_z,953
6720,accel_x,303
6720,accel_y,243
6720,accel_z,928
6760,accel_x,164
6760,accel_y,228
6760,accel_z,828
6800,accel_x,-2
6800,accel_y,165
6800,accel_z,864
6840,accel_x,2
6840,accel_y,258
6840,accel_z,944
6880,accel_x,-225
6880,accel_y,208
6880,accel_z,948
6920,accel_x,-123
6920,accel_y,296
6920,accel_z,999
6960,accel_x,-232
6960,accel_y,309
6960,accel_z,792
