timestamp_ms,sensor,value
0,sound,38
100,sound,39
200,sound,38
300,sound,40
400,sound,38
500,sound,39
600,sound,39
700,sound,39
800,sound,38
900,sound,40
1000,sound,42
1100,sound,39
1200,sound,40
1300,sound,40
1400,sound,40
1500,sound,39
1600,sound,41
1700,sound,38
1800,sound,38
1900,sound,41
2000,sound,39
2100,sound,40
2200,sound,39
2300,sound,39
2400,sound,41
2500,sound,40
2600,sound,38
2700,sound,39
2800,sound,39
2900,sound,39
3000,sound,38
3100,sound,39
3200,sound,40
3300,sound,40
3400,sound,38
3500,sound,39
3600,sound,41
3700,sound,39
3800,sound,40
3900,sound,39
4000,sound,40
4100,sound,40
4200,sound,38
4300,sound,38
4400,sound,40
4500,sound,40
4600,sound,38
4700,sound,40
4800,sound,40
4900,sound,40
5000,sound,38
5100,sound,38
5200,sound,43
5300,sound,40
5400,sound,38
5500,sound,38
5600,sound,187
5700,sound,39
5800,sound,41
5900,sound,38
6000,sound,38
6100,sound,39
6200,sound,42
6300,sound,40
6400,sound,39
6500,sound,44
6600,sound,38
6700,sound,39
6800,sound,38
6900,sound,38
7000,sound,40
7100,sound,40
7200,sound,40
7300,sound,40
7400,sound,42
7500,sound,41
7600,sound,39
7700,sound,39
7800,sound,39
7900,sound,40
8000,sound,39
8100,sound,41
8200,sound,43
8300,sound,187
8400,sound,39
8500,sound,39
8600,sound,38
8700,sound,39
8800,sound,39
8900,sound,39
9000,sound,39
9100,sound,41
9200,sound,39
9300,sound,39
9400,sound,40
9500,sound,40
9600,sound,42
9700,sound,39
9800,sound,40
9900,sound,39
10000,sound,39
10100,sound,40
10200,sound,40
10300,sound,43
10400,sound,41
10500,sound,39
10600,sound,40
10700,sound,39
10800,sound,41
10900,sound,41
11000,sound,38
11100,sound,39
11200,sound,38
11300,sound,40
11400,sound,38
11500,sound,40
11600,sound,39
11700,sound,39
11800,sound,40
11900,sound,39
12000,sound,41
12100,sound,38
12200,sound,40
12300,sound,39
12400,sound,41
12500,sound,38
12600,sound,41
12700,sound,38
12800,sound,42
12900,sound,39
13000,sound,38
13100,sound,38
13200,sound,40
13300,sound,39
13400,sound,39
13500,sound,44
13600,sound,44
13700,sound,41
13800,sound,41
13900,sound,41
14000,sound,38
14100,sound,38
14200,sound,38
14300,sound,41
14400,sound,41
14500,sound,38
14600,sound,40
14700,sound,39
14800,sound,42
14900,sound,38
15000,sound,39
15100,sound,40
15200,sound,39
15300,sound,40
15400,sound,39
15500,sound,40
15600,sound,38
15700,sound,40
15800,sound,41
15900,sound,42
16000,sound,41
16100,sound,38
16200,sound,39
16300,sound,38
16400,sound,40
16500,sound,39
16600,sound,41
16700,sound,194
16800,sound,40
16900,sound,40
17000,sound,38
17100,sound,40
17200,sound,38
17300,sound,39
17400,sound,40
17500,sound,39
17600,sound,40
17700,sound,40
17800,sound,39
17900,sound,39
18000,sound,39
18100,sound,39
18200,sound,40
18300,sound,39
18400,sound,209
18500,sound,39
18600,sound,38
18700,sound,39
18800,sound,38
18900,sound,40
19000,sound,39
19100,sound,38
19200,sound,41
19300,sound,39
19400,sound,39
19500,sound,39
19600,sound,39
19700,sound,40
19800,sound,40
19900,sound,43
20000,sound,39
20100,sound,39
20200,sound,41
20300,sound,41
20400,sound,43
20500,sound,42
20600,sound,41
20700,sound,39
20800,sound,39
20900,sound,40
21000,sound,38
21100,sound,39
21200,sound,38
21300,sound,38
21400,sound,39
21500,sound,39
21600,sound,42
21700,sound,38
21800,sound,38
21900,sound,41
22000,sound,40
22100,sound,39
22200,sound,41
22300,sound,39
22400,sound,40
22500,sound,40
22600,sound,38
22700,sound,40
22800,sound,40
22900,sound,40
23000,sound,42
23100,sound,40
23200,sound,40
23300,sound,39
23400,sound,39
23500,sound,38
23600,sound,40
23700,sound,39
23800,sound,39
23900,sound,39
24000,sound,40
24100,sound,39
24200,sound,38
24300,sound,41
24400,sound,40
24500,sound,39
24600,sound,40
24700,sound,40
24800,sound,39
24900,sound,38
25000,sound,39
25100,sound,39
25200,sound,39
25300,sound,39
25400,sound,39
25500,sound,39
25600,sound,42
25700,sound,38
25800,sound,38
25900,sound,38
26000,sound,41
26100,sound,38
26200,sound,40
26300,sound,39
26400,sound,40
26500,sound,40
26600,sound,42
26700,sound,41
26800,sound,40
26900,sound,39
27000,sound,38
27100,sound,38
27200,sound,40
27300,sound,40
27400,sound,40
27500,sound,42
27600,sound,39
27700,sound,40
27800,sound,44
27900,sound,40
28000,sound,43
28100,sound,39
28200,sound,40
28300,sound,40
28400,sound,41
28500,sound,40
28600,sound,38
28700,sound,40
28800,sound,40
28900,sound,38
29000,sound,40
29100,sound,38
29200,sound,40
29300,sound,39
29400,sound,39
29500,sound,41
29600,sound,39
29700,sound,39
29800,sound,39
29900,sound,42
